"rho","n","p_exp","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,25,0.3,"lipsey_cooper","own",1000,998,998,998,0.002,-0.00215855102389795,0.00638534562375977,0.201720334764243,0.00451738497692952,0.198104550454023,0.982075261205343,0.021992884536743,0.201630801618171,0.944889779559118,0.00722339524888972,0.776493164822241,"01b_smd_to_cor_z",1000
0.1,25,0.3,"lipsey_cooper","own",1000,999,999,999,0.001,-0.0128262363277169,0.00659530606496943,0.208457583283823,0.00466592152329946,0.197821417587757,0.948976834862447,0.0212410187681616,0.208747642632859,0.925925925925926,0.0082858772248645,0.775358727672919,"01b_smd_to_cor_z",1000
0.25,25,0.3,"lipsey_cooper","own",1000,998,998,998,0.002,0.00284982507808571,0.00653320688179475,0.206391440171364,0.00462199109617101,0.196421798982181,0.951695471571373,0.0213125505215573,0.206307695655846,0.928857715430862,0.00813716700634812,0.769779954537448,"01b_smd_to_cor_z",1000
0.5,25,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,0.0118816680156453,0.00615380330533588,0.19460034717534,0.00435357337844936,0.19137768576707,0.983439590653112,0.0220013812068013,0.194865594347684,0.941,0.00745110730026082,0.749781912990074,"01b_smd_to_cor_z",1000
0.75,25,0.3,"lipsey_cooper","own",1000,998,998,998,0.002,-0.0086022861742174,0.00609185245681882,0.192448551625982,0.0043097499167008,0.183330148573039,0.952619009205825,0.021333232497127,0.192544368092151,0.939879759519038,0.00752456212918367,0.718032993165079,"01b_smd_to_cor_z",1000
0,50,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.000217900993239973,0.00464412606112154,0.146860160940904,0.00328553620950646,0.140689747504135,0.957984429560496,0.0214319016900093,0.146786874227771,0.925,0.00832916562447884,0.551478746742297,"01b_smd_to_cor_z",1000
0.1,50,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00545318147967796,0.00444170852820226,0.140459156517134,0.00314233378022429,0.14052688328331,1.00048218121093,0.0223826558017817,0.140494779487017,0.954,0.00662449998113065,0.550838504358138,"01b_smd_to_cor_z",1000
0.25,50,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00188035358292064,0.00432220805214526,0.136680219658988,0.0030577919017371,0.139611507948835,1.02144632410717,0.0228516628500212,0.136624802628147,0.95,0.00689202437604511,0.547218059425171,"01b_smd_to_cor_z",1000
0.5,50,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,0.0048570058365432,0.00451524142004985,0.142784470728906,0.00319435540400783,0.135771385758149,0.950883419359574,0.0212730388235265,0.142795686846448,0.939,0.00756828910652864,0.53205550046871,"01b_smd_to_cor_z",1000
0.75,50,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00707999087106686,0.0042107601451728,0.133155927394073,0.0029789468986057,0.129653409562741,0.97369611777802,0.0217834015128369,0.133277517871207,0.949,0.00695693898205238,0.508011153245865,"01b_smd_to_cor_z",1000
0,100,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,0.000378292169555481,0.00317851757769821,0.100513551284075,0.00224867595251242,0.0997519412516169,0.992422812419531,0.02220235266293,0.100463994160646,0.951,0.00682634602111555,0.391018342468484,"01b_smd_to_cor_z",1000
0.1,100,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00144555439308955,0.00330899120967078,0.104639489800354,0.00234098090646714,0.0995885370078073,0.951729955849516,0.021291977426566,0.104597146377691,0.945,0.00720936890441875,0.390374139091695,"01b_smd_to_cor_z",1000
0.25,100,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,0.000975180189608434,0.00325310951186203,0.102872355354426,0.00230144680700839,0.0988613605859441,0.961009984123894,0.0214995889988628,0.102825530638423,0.941,0.00745110730026082,0.387510894767172,"01b_smd_to_cor_z",1000
0.5,100,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.00103691560613247,0.00318634212151438,0.100760985085185,0.00225421150897505,0.0962249241675569,0.954981971307716,0.02136473108878,0.100715929887956,0.935,0.0077958322198467,0.377138166898022,"01b_smd_to_cor_z",1000
0.75,100,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,-0.000678009202891783,0.00289110276089039,0.0914246967401479,0.0020453412937752,0.0915536476911607,1.00141046080119,0.0224034231507129,0.091381488253,0.944,0.00727076337120113,0.358807823273848,"01b_smd_to_cor_z",1000
0,300,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,0.000184878374549803,0.0018282043497526,0.0578128977344531,0.00129338254613158,0.0576871152214517,0.997824317445925,0.0223231944231211,0.0577842798114093,0.954,0.00662449998113065,0.226129193462157,"01b_smd_to_cor_z",1000
0.1,300,0.3,"lipsey_cooper","own",1000,1000,1000,1000,0,0.00297916921873856,0.00188265562121942,0.0595347981277261,0.00133190467531226,0.057595668672428,0.967428638102746,0.0216431862816705,0.0595795539187301,0.939,0.00756828910652864,0.225770090397199,"01b_smd_to_cor_z",1000
