"delta","n","p_exp","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,25,0.15,"biserial_split_p","own",1000,1000,1000,1000,0,-0.032706998871242,0.0119352716212282,0.377426428158516,0.00844373442187964,0.363859507831464,0.964054132633885,0.0215676922890445,0.378652882913872,0.945,0.00720936890441875,1.50504879290712,"02a_cor_to_smd_GROUPS",1000
0.2,25,0.15,"biserial_split_p","own",1000,1000,1000,1000,0,-0.00382493376495219,0.0114754447617674,0.362885426106334,0.00811842503600626,0.363657161646248,1.0021266644632,0.0224194459648637,0.362724105576403,0.96,0.00619677335393187,1.50410329531137,"02a_cor_to_smd_GROUPS",1000
0.5,25,0.15,"biserial_split_p","own",1000,1000,1000,1000,0,0.0249745353265076,0.011899167171341,0.376284705205407,0.0084181919461011,0.358765276494435,0.953441028910785,0.0213302573280988,0.376924815589162,0.941,0.00745110730026082,1.48315417743388,"02a_cor_to_smd_GROUPS",1000
0.8,25,0.15,"biserial_split_p","own",1000,1000,1000,1000,0,0.0215530046160718,0.0111685277656431,0.353179858502634,0.00790129335378916,0.352433820203229,0.997887653326076,0.0223246113651036,0.353660583678007,0.939,0.00756828910652864,1.45610103791262,"02a_cor_to_smd_GROUPS",1000
1.2,25,0.15,"biserial_split_p","own",1000,1000,1000,1000,0,0.0251760014754209,0.0105586635458829,0.333894258523797,0.00746983844698144,0.338974026047814,1.01521370132711,0.022712227432731,0.334675546685998,0.953,0.00669260786241059,1.39875396338457,"02a_cor_to_smd_GROUPS",1000
0,50,0.15,"biserial_split_p","own",1000,1000,1000,1000,0,0.0098025328674549,0.00854188605742156,0.270118154550879,0.00604304783500201,0.256630845210977,0.95006885278656,0.0212548154472647,0.270160958043853,0.935,0.0077958322198467,1.03192396838713,"02a_cor_to_smd_GROUPS",1000
0.2,50,0.15,"biserial_split_p","own",1000,1000,1000,1000,0,-0.00242186165503769,0.0081322757145218,0.257165138183621,0.00575326465606295,0.256352138360898,0.996838607952596,0.0223011422599501,0.257047932889141,0.955,0.00655553201502365,1.03078359484788,"02a_cor_to_smd_GROUPS",1000
0.5,50,0.15,"biserial_split_p","own",1000,1000,1000,1000,0,0.00911809886749137,0.00820119833790337,0.259344662905619,0.00580202469655153,0.253576322708332,0.977758014633269,0.021874273735172,0.25937527686811,0.943,0.00733150734842434,1.0193909080263,"02a_cor_to_smd_GROUPS",1000
0.8,50,0.15,"biserial_split_p","own",1000,1000,1000,1000,0,-0.00131072144027144,0.00799230888488996,0.252738998398528,0.00565424363879665,0.249251743804817,0.986202150772901,0.0220631848385442,0.252615997713671,0.944,0.00727076337120113,1.00175704805791,"02a_cor_to_smd_GROUPS",1000
1.2,50,0.15,"biserial_split_p","own",1000,1000,1000,1000,0,0.0153577321454211,0.00755520623457861,0.238916598935728,0.00534501073556181,0.239516832970198,1.00251231616867,0.0224280737141079,0.239290451214458,0.947,0.00708456067798138,0.962015495607532,"02a_cor_to_smd_GROUPS",1000
0,100,0.15,"biserial_split_p","own",1000,1000,1000,1000,0,-0.00579808112409459,0.00606171838360664,0.191688366267112,0.00428842692447521,0.183056931366792,0.954971524519686,0.0213644973746118,0.191680210447281,0.94,0.00750999334220744,0.726530577184021,"02a_cor_to_smd_GROUPS",1000
