"rho","n","p_exp","p_case","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,25,0.3,0.1,"phi (r)","own",300,276,0.08,-0.0148230104894142,0.0122521175242323,0.20354746359613,0.00867929301021247,0.193032003571348,0.948339026981708,0.0404373119800965,0.203718377159645,0.984962406015038,0.0105529330819623,0.75173798932867,"03a_2x2_to_cor_CAT",300
0.1,25,0.3,0.1,"phi (r)","own",300,277,0.0766666666666667,0.00772060909479265,0.0135386201848215,0.225327547168456,0.00959057730434992,0.192659868548363,0.855021372084297,0.0363921263462532,0.225052920623658,0.985915492957746,0.00988886616196351,0.752594680093434,"03a_2x2_to_cor_CAT",300
0.25,25,0.3,0.1,"phi (r)","own",300,278,0.0733333333333334,0.00692080595703547,0.0126179168932877,0.21038271751692,0.00893830517110355,0.191472052833383,0.910113031589604,0.0386669975203255,0.210117999129473,1,0,0.751469978575619,"03a_2x2_to_cor_CAT",300
0.5,25,0.3,0.1,"phi (r)","own",300,284,0.0533333333333333,-0.00149893728310221,0.009113306764256,0.153580175449045,0.00645545627422328,0.195345044158263,1.2719417957891,0.0534637014319458,0.153316876904529,1,0,0.765379869719889,"03a_2x2_to_cor_CAT",300
0,50,0.3,0.1,"phi (r)","own",300,299,0.0033333333333333,-0.00402408405574356,0.0083087449754009,0.143671631426697,0.00588501932688984,0.140371396656478,0.977029322090609,0.0400206803969853,0.143487615097018,0.991031390134529,0.0063132623954833,0.54767701937887,"03a_2x2_to_cor_CAT",300
0.1,50,0.3,0.1,"phi (r)","own",300,298,0.00666666666666671,-0.0181156119630277,0.00938122567347375,0.161945063989983,0.00664468646109014,0.140947750174579,0.870342983613862,0.0357106051721437,0.1626848848307,0.967479674796748,0.0113091720549653,0.550646178525498,"03a_2x2_to_cor_CAT",300
0.25,50,0.3,0.1,"phi (r)","own",300,297,0.01,-0.0138327197912062,0.00887056624903146,0.152872570583481,0.00628302394767277,0.142281969832005,0.930722688111712,0.0382524668469214,0.153240595235222,0.964,0.0117820202002882,0.55755561988093,"03a_2x2_to_cor_CAT",300
0.5,50,0.3,0.1,"phi (r)","own",300,297,0.01,0.000488494705267792,0.00666947785581704,0.114939700087317,0.00472399257388412,0.147045667670596,1.2793287920439,0.0525800894606509,0.114747075554762,1,0,0.583550598325971,"03a_2x2_to_cor_CAT",300
0,100,0.3,0.1,"phi (r)","own",300,300,0,0.0155776929986184,0.00580662607432238,0.100573713812806,0.00411276500302013,0.100043073831924,0.994723870077332,0.0406772840081986,0.101607182437524,0.96830985915493,0.0103946552860162,0.391122183684462,"03a_2x2_to_cor_CAT",300
0.1,100,0.3,0.1,"phi (r)","own",300,300,0,-0.0192419064964492,0.00605353573977297,0.104850314667208,0.00428764821712327,0.100548277847898,0.958969729056468,0.0392151884533169,0.106429291816107,0.972972972972973,0.00942548422247183,0.393158851812777,"03a_2x2_to_cor_CAT",300
0.25,100,0.3,0.1,"phi (r)","own",300,300,0,-0.00510818481469052,0.00643157998886612,0.111398233136594,0.00455541251559237,0.103542243855848,0.929478331392271,0.038009195519326,0.111329666652258,0.952054794520548,0.0125029397571878,0.405517241951425,"03a_2x2_to_cor_CAT",300
0.5,100,0.3,0.1,"phi (r)","own",300,300,0,-0.00985697576405944,0.00470013209285089,0.0814086758710278,0.00332904832059549,0.116198648066199,1.42734968752332,0.0583686693010453,0.0818684385865339,0.948717948717949,0.0353198580369843,0.461051762662956,"03a_2x2_to_cor_CAT",300
0,300,0.3,0.1,"phi (r)","own",300,300,0,-7.461445445108e-05,0.00332172004781515,0.0575338789133596,0.00235273526960814,0.0577843927903438,1.00435419759133,0.0410710973861246,0.0574379575373105,0.956666666666667,0.0117552194868996,0.22629937434964,"03a_2x2_to_cor_CAT",300
0.1,300,0.3,0.1,"phi (r)","own",300,300,0,-0.00178210751165713,0.00380358261238478,0.06587998335436,0.00269403286074996,0.0580639519100891,0.881359541300587,0.0360414718629729,0.0657942313068906,0.916666666666667,0.0159571184626056,0.227418958252536,"03a_2x2_to_cor_CAT",300
0.25,300,0.3,0.1,"phi (r)","own",300,300,0,-0.000257333520924512,0.00353931186259849,0.0613026796985182,0.0025068529946571,0.0596125764966528,0.972430190487967,0.0397656276545878,0.0612009642922346,0.953333333333333,0.0121776966745069,0.233588098548922,"03a_2x2_to_cor_CAT",300
0.5,300,0.3,0.1,"phi (r)","own",300,300,0,0.000239114956267026,0.00275627791671828,0.0477401339153615,0.00195223925380782,0.0867499024328141,1.81712733748533,0.0743078627239601,0.0476611004306948,1,0,0.342423744588591,"03a_2x2_to_cor_CAT",300
0,25,0.5,0.1,"phi (r)","own",300,274,0.0866666666666667,-0.00182126183181996,0.0124340998754261,0.205820975804478,0.0088083246174361,0.192987783980697,0.93764876600346,0.040127662770109,0.205453119314493,1,0,0.750138877186169,"03a_2x2_to_cor_CAT",300
0.1,25,0.5,0.1,"phi (r)","own",300,280,0.0666666666666667,-0.000407401526095128,0.0117970069447147,0.197401682867754,0.00835667959808537,0.192860220117428,0.976993799220198,0.0413594455264546,0.1970492857185,1,0,0.750047568939573,"03a_2x2_to_cor_CAT",300
0.25,25,0.5,0.1,"phi (r)","own",300,287,0.0433333333333333,0.0106065404836637,0.00901501068529667,0.152723966250474,0.00638570982567755,0.192664928991963,1.26152387030065,0.0527469628486069,0.152826169717923,0.987012987012987,0.0129024061385767,0.750633043996905,"03a_2x2_to_cor_CAT",300
0,50,0.5,0.1,"phi (r)","own",300,299,0.0033333333333333,0.0033421480241834,0.0082829029987859,0.143224781878353,0.00586671565620617,0.140142457008485,0.978479109345157,0.0400800659968297,0.143024129486706,0.992063492063492,0.00558964454185526,0.546754267562879,"03a_2x2_to_cor_CAT",300
0.1,50,0.5,0.1,"phi (r)","own",300,297,0.01,0.00555543929050138,0.00797306807279873,0.137405367087914,0.00564732579989347,0.141073064478738,1.02669253369468,0.0421968032033442,0.137286299373904,0.982222222222222,0.00880952222063319,0.550645260315092,"03a_2x2_to_cor_CAT",300
0.25,50,0.5,0.1,"phi (r)","own",300,300,0,-0.0157037461508083,0.00617507111911311,0.106955369186551,0.00437373029790152,0.142813430487455,1.33526190946394,0.0546029200167599,0.107925562948147,0.972027972027972,0.0137890180340653,0.558335204468279,"03a_2x2_to_cor_CAT",300
0,100,0.5,0.1,"phi (r)","own",300,300,0,0.0133106356178509,0.00598535146354965,0.103669328360247,0.0042393540956458,0.100370882357678,0.968183009818419,0.0395919475213103,0.104348829562548,0.986486486486487,0.00671094770818588,0.392353683020282,"03a_2x2_to_cor_CAT",300
0.1,100,0.5,0.1,"phi (r)","own",300,300,0,-0.00151608241608431,0.00528943286655401,0.0916156646809623,0.00374644313254258,0.10094603976176,1.10184257368311,0.0450576935472033,0.0914754088308826,0.982876712328767,0.00759192087938933,0.394665305397473,"03a_2x2_to_cor_CAT",300
0.25,100,0.5,0.1,"phi (r)","own",300,300,0,-0.00171395265474785,0.00478343079815546,0.08285145176895,0.00338804781455093,0.107039327933455,1.2919426956085,0.0528314656282442,0.0827310067853922,0.971563981042654,0.0114427095072916,0.418741354106274,"03a_2x2_to_cor_CAT",300
0,300,0.5,0.1,"phi (r)","own",300,300,0,-0.000492275612006413,0.00322339795289643,0.0558308902743013,0.00228309488535926,0.0576847163388744,1.0332043077849,0.0422508661252831,0.0557399349635117,0.969899665551839,0.00988128603776342,0.225913941535332,"03a_2x2_to_cor_CAT",300
0.1,300,0.5,0.1,"phi (r)","own",300,300,0,0.00291274689945127,0.00315122770021274,0.0545808648298689,0.0022319775436022,0.0583372786331782,1.06882290735074,0.0437074189778864,0.0545676155247607,0.973333333333333,0.00930153312731393,0.228451522480843,"03a_2x2_to_cor_CAT",300
0.25,300,0.5,0.1,"phi (r)","own",300,300,0,-0.00382191808031106,0.00264084949846237,0.045740855064796,0.00187048266179026,0.0657244202012328,1.43688656690235,0.0587586613005563,0.0458242162376811,0.993311036789298,0.00471396593705836,0.256466568579619,"03a_2x2_to_cor_CAT",300
0,25,0.3,0.3,"phi (r)","own",300,300,0,0.00410469533863782,0.0124732716212999,0.216043401846985,0.00883467169069139,0.190471055341175,0.881633290870315,0.036052666315353,0.215722083942516,0.970479704797048,0.0102817947831789,0.742530759046464,"03a_2x2_to_cor_CAT",300
