"rho","n","p_exp","p_case","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,25,0.3,0.1,"phi (r)","population",1000,920,0.08,0.00667210175477121,0.00690988799364594,0.209587279952658,0.00488868627463594,0.193218660040295,0.921900699717749,0.0215036108026473,0.209579575120514,0.983833718244804,0.006060688664558,0.752280281925142,"03b_2x2_to_cor_CONT",1000
0.1,25,0.3,0.1,"phi (r)","population",1000,911,0.089,-0.0467714005072506,0.00713721729049523,0.215421034636219,0.00504954693668557,0.193465204575095,0.898079451255998,0.0210513070353044,0.220324411263248,1,0,0.753562448283349,"03b_2x2_to_cor_CONT",1000
0.25,25,0.3,0.1,"phi (r)","population",1000,916,0.084,-0.123772787985981,0.00729329027504213,0.220735017749785,0.00515995234765337,0.193038622746616,0.874526501116536,0.0204431318533996,0.252963355100664,0.98207171314741,0.00592228275533222,0.753322584231082,"03b_2x2_to_cor_CONT",1000
0.5,25,0.3,0.1,"phi (r)","population",1000,946,0.054,-0.247038816110189,0.00711115445661613,0.218718581171641,0.00503100533515914,0.191626557569796,0.876132958358101,0.0201529726655885,0.329871832530687,0.688,0.02071984555927,0.752115514349963,"03b_2x2_to_cor_CONT",1000
0,50,0.3,0.1,"phi (r)","population",1000,996,0.004,-0.0107409252937711,0.00451047718450063,0.14234825890812,0.00319099130910135,0.140089008384225,0.98412870981897,0.0220610085726193,0.142681638222679,0.989115646258503,0.00382720028487931,0.54653471889204,"03b_2x2_to_cor_CONT",1000
0.1,50,0.3,0.1,"phi (r)","population",1000,998,0.002,-0.0446198800599206,0.00451468039765329,0.14262389145851,0.00319396170633417,0.140463155184704,0.984850109952058,0.022055025322184,0.14937243980145,0.996345919610231,0.00210582629107375,0.548225061021087,"03b_2x2_to_cor_CONT",1000
0.25,50,0.3,0.1,"phi (r)","population",1000,994,0.00600000000000001,-0.131985655152403,0.00500167759419334,0.157691718500745,0.00353850052189671,0.140950689027066,0.893836977408554,0.0200571256443997,0.205576930784976,0.859976662777129,0.0118536782299734,0.550784420083686,"03b_2x2_to_cor_CONT",1000
0.5,50,0.3,0.1,"phi (r)","population",1000,999,0.001,-0.244831497972984,0.00493562804511652,0.156000204408651,0.00349176412737357,0.14208471267685,0.910798246806467,0.0203864646045117,0.290265681318058,0.488198757763975,0.017617775138956,0.557361806204523,"03b_2x2_to_cor_CONT",1000
0,100,0.3,0.1,"phi (r)","population",1000,1000,0,-4.15783069518974e-05,0.00318201665365461,0.100624201781357,0.00225115141088786,0.100216199603211,0.995945287804289,0.0222811570190574,0.100573885690605,0.975295381310419,0.00508724110148977,0.39177498372782,"03b_2x2_to_cor_CONT",1000
0.1,100,0.3,0.1,"phi (r)","population",1000,1000,0,-0.0504849711077056,0.00330738748502709,0.104588775574217,0.00233984633446854,0.100207290282027,0.95810749989056,0.0214346550032506,0.11608878271342,0.935118434603502,0.0079046811059273,0.391801357090987,"03b_2x2_to_cor_CONT",1000
0.25,100,0.3,0.1,"phi (r)","population",1000,1000,0,-0.125579892943469,0.00340500206400183,0.107675619598202,0.00240890480307517,0.100767189047176,0.935840345504349,0.0209364971532943,0.16538668183531,0.731041456016178,0.0140998836703218,0.394158790431389,"03b_2x2_to_cor_CONT",1000
0.5,100,0.3,0.1,"phi (r)","population",1000,1000,0,-0.242381608478376,0.00350698417046409,0.110900576968227,0.00248105312529849,0.10386433867742,0.936553636751384,0.0209524548112802,0.266524826540565,0.304890738813736,0.0148503592489348,0.406863815164598,"03b_2x2_to_cor_CONT",1000
0,300,0.3,0.1,"phi (r)","population",1000,1000,0,0.00278427565076089,0.0019045167489076,0.0602261076848701,0.00134737056182241,0.0578037384949994,0.959778752388489,0.0214720440443765,0.0602603439562214,0.942713567839196,0.0073672299568614,0.22637449219002,"03b_2x2_to_cor_CONT",1000
0.1,300,0.3,0.1,"phi (r)","population",1000,1000,0,-0.0554808927062439,0.00189788992224139,0.0600165490256264,0.00134268234305328,0.0577931435894698,0.962953460799499,0.0215430682034962,0.0817099359091061,0.830661322645291,0.0118720250869765,0.22634258605976,"03b_2x2_to_cor_CONT",1000
0.25,300,0.3,0.1,"phi (r)","population",1000,1000,0,-0.131190810274641,0.00193771368270752,0.0612758869062858,0.00137085608452545,0.0581788940800638,0.949458212967876,0.0212411542935359,0.144782624241836,0.378378378378378,0.015344172339325,0.227876750476238,"03b_2x2_to_cor_CONT",1000
0.5,300,0.3,0.1,"phi (r)","population",1000,1000,0,-0.243922277940723,0.00199922454977653,0.0632210313141849,0.00141437259944635,0.0599307916532187,0.947956564570815,0.0212075596130529,0.251974164503864,0.027,0.00512552436341883,0.234827243725521,"03b_2x2_to_cor_CONT",1000
