"rho","n","p_exp","p_case","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,25,0.3,0.1,"phi (r)","own",300,279,130,130,0.07,0.0117553259276,0.0126897183501077,0.21196008481224,0.0089891098735885,0.193349771388725,0.912198971612977,0.0386858534693791,0.211906196911443,0.992307692307692,0.00766266477783652,0.753020422578576,"03b_2x2_to_cor_CONT",300
0.1,25,0.3,0.1,"phi (r)","own",300,276,145,145,0.08,0.0223796003092579,0.0129319376982316,0.214841484555801,0.00916087168203993,0.193906261383769,0.90255502462517,0.0384850755600884,0.215616499794222,1,0,0.755236630897344,"03b_2x2_to_cor_CONT",300
0.25,25,0.3,0.1,"phi (r)","own",300,270,148,148,0.1,-0.0120183029407444,0.0128882766009044,0.21177599465044,0.00913031145107599,0.193224999537848,0.912402748275538,0.0393364756677158,0.21172483048055,0.993243243243243,0.00673389118608194,0.75335367518485,"03b_2x2_to_cor_CONT",300
0.5,25,0.3,0.1,"phi (r)","own",300,280,152,152,0.0666666666666667,-0.0193733786322199,0.0129235636029279,0.21625258133881,0.00915470176471597,0.192417979034537,0.889783501511457,0.0376675392315431,0.21673368044475,1,0,0.753572285516154,"03b_2x2_to_cor_CONT",300
0,50,0.3,0.1,"phi (r)","own",300,300,220,220,0,-0.0110514120646025,0.00822666726116188,0.142490056732959,0.00582685173285356,0.139996642361237,0.982501134262341,0.0401774591713171,0.14268101458203,0.986363636363636,0.0078190946997313,0.546151563556539,"03b_2x2_to_cor_CONT",300
0.1,50,0.3,0.1,"phi (r)","own",300,299,246,246,0.0033333333333333,0.00529874074529435,0.0084115550044286,0.145449383017481,0.00595783886938602,0.140442364343636,0.965575524832283,0.0395515145807266,0.145302599481424,0.983739837398374,0.00806371217995264,0.548206847625486,"03b_2x2_to_cor_CONT",300
0.25,50,0.3,0.1,"phi (r)","own",300,299,261,261,0.0033333333333333,0.01002160267477,0.00862153705000036,0.14908031201421,0.00610656751614894,0.140860559737535,0.944863596234687,0.0387031209285935,0.149167828466196,0.992337164750958,0.0053976425267609,0.550336737864733,"03b_2x2_to_cor_CONT",300
0.5,50,0.3,0.1,"phi (r)","own",300,299,240,240,0.0033333333333333,-0.00311302545117949,0.00907795336143791,0.156972487820319,0.00642984363328457,0.14195756139557,0.90434676398876,0.0370434868138846,0.156740689110159,0.970833333333333,0.0108620079908179,0.556667920655155,"03b_2x2_to_cor_CONT",300
0,100,0.3,0.1,"phi (r)","own",300,300,276,276,0,-0.00503459766135987,0.00608905363098277,0.105465502588739,0.0043128051220245,0.100301818396403,0.951039116435332,0.0388908815862022,0.10540988016209,0.967391304347826,0.0106908752607407,0.392098588554347,"03b_2x2_to_cor_CONT",300
0.1,100,0.3,0.1,"phi (r)","own",300,300,291,291,0,0.00176513539893108,0.00637670397379346,0.110447752674366,0.00451654447907559,0.100368504717362,0.908741937133655,0.0371612212986027,0.110277646965399,0.972508591065292,0.0095851458981223,0.392440439750264,"03b_2x2_to_cor_CONT",300
0.25,100,0.3,0.1,"phi (r)","own",300,300,299,299,0,0.00546903679694831,0.00590886382462922,0.102344523592636,0.00418517879995961,0.100641967358295,0.983364461775035,0.0402127632586949,0.102320072327926,0.959866220735786,0.0113507560230557,0.393697643271328,"03b_2x2_to_cor_CONT",300
0.5,100,0.3,0.1,"phi (r)","own",300,300,289,289,0,-0.0012726649602971,0.00645664330145801,0.111832342444745,0.00457316456533147,0.103862321570708,0.928732415866408,0.0379786927651403,0.111653053026138,0.948096885813149,0.0130489073273557,0.406792313634297,"03b_2x2_to_cor_CONT",300
