"rr","n","br","br_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,50,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,1.19059599082422,0.0157274133675005,0.497344479442805,0.0111265252968435,1.32977692364797,2.67375426613316,0.0598168788623199,1.29020269456691,1,0,5.19434607302259,"04_or_to_rr",1000
0.5,50,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.550976193763042,0.0170839594461725,0.54024223303854,0.0120862281995387,1.31904705306715,2.44158448266493,0.0546228069952389,0.771456139246891,1,0,5.15124203663586,"04_or_to_rr",1000
0.75,50,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.154350971451981,0.0185870069708807,0.587772769134101,0.0131495751031422,1.30673187958671,2.22319227464683,0.0497369652344752,0.607417133192343,1,0,5.10115078311787,"04_or_to_rr",1000
1,50,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0728983881431943,0.0185863122792223,0.58775080105498,0.0131490836361648,1.30676170507333,2.22332611495853,0.0497399594923295,0.591962607037391,1,0,5.10197144378771,"04_or_to_rr",1000
2,50,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.596880397959338,0.0199071213992008,0.629518452789527,0.0140835040486218,1.28539448200114,2.04186942623411,0.045680434312447,0.867273543000255,0.981,0.00431729081716764,5.01645324710006,"04_or_to_rr",1000
0.25,100,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,1.0098438824586,0.0215693696218819,0.682083356991915,0.0152594791735278,1.29376733672196,1.89678772170554,0.0424346854959428,1.21842403748388,0.995,0.00223047080231955,5.04432836233909,"04_or_to_rr",1000
0.5,100,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.435874714937701,0.0215238008419026,0.680642345642618,0.015227241057104,1.29629182401078,1.90451245402151,0.0426075021915686,0.807958845363565,1,0,5.05647567819668,"04_or_to_rr",1000
0.75,100,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0688235407753695,0.0233735289921344,0.739135885711244,0.0165358508440361,1.28088972491583,1.73295567117984,0.0387694564043277,0.741965103932427,1,0,4.99568132855894,"04_or_to_rr",1000
1,100,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.094063748892315,0.0239697366643753,0.757989627738729,0.0169576442815424,1.2719074539559,1.67800113274678,0.0375400206966331,0.763427610412024,1,0,4.96142837331182,"04_or_to_rr",1000
2,100,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.49092882587998,0.0242585647442372,0.767123173584496,0.0171619787682078,1.24786030313271,1.62667527993177,0.0363917654664392,0.910439782504475,0.972,0.0052168956286282,4.86574178886974,"04_or_to_rr",1000
0.25,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.526006322319715,0.0272970762810105,0.863209345113516,0.0193116059630089,1.19856975342307,1.38850414468747,0.0310634321465588,1.01047904195887,0.987,0.00358203852575597,4.66816764007439,"04_or_to_rr",1000
0.5,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.125124405651499,0.0299124636933049,0.945915156979359,0.0211618895108474,1.19050832671901,1.25857833859088,0.0281567490968824,0.953685926082965,0.997,0.00172945077987204,4.63324333940789,"04_or_to_rr",1000
0.75,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0233571938461177,0.0306434443540384,0.969030795113883,0.0216790295276514,1.18093442735223,1.21867584942277,0.0272640558561061,0.96882775543516,0.992,0.00281709069786544,4.59036323536097,"04_or_to_rr",1000
1,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0728047765289164,0.0307792820998221,0.97332636180288,0.0217751293807813,1.15601959933017,1.18769987611235,0.0265710654543251,0.975560032934558,0.982,0.00420428352992517,4.48934366619592,"04_or_to_rr",1000
2,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0632699395393592,0.0270966243780527,0.8568704993669,0.0191697941394787,1.08173491593883,1.26242520513668,0.0282428106894097,0.858775821085986,0.97,0.00539444158370447,4.18374001598306,"04_or_to_rr",1000
0.25,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.614874339704251,0.0255547947739593,0.808113566238791,0.0180790104427255,1.18623449478266,1.46790568100937,0.0328397928764168,1.01511819116297,0.99,0.00314642654451046,4.62049338493669,"04_or_to_rr",1000
0.5,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.216953165502207,0.0271786870652165,0.859465549390415,0.0192278502573742,1.2000982202098,1.3963308023934,0.0312385291036063,0.886008479406268,1,0,4.67197243690875,"04_or_to_rr",1000
0.75,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0702989424319597,0.0287623932310649,0.909546735675749,0.0203482599716309,1.18437462310844,1.30215917077477,0.0291317337439321,0.91180586224321,1,0,4.60824186084489,"04_or_to_rr",1000
1,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.104213641767007,0.029374300408838,0.928896939659433,0.0207811601907402,1.16661873004605,1.25591836966733,0.0280972406218919,0.934262895610488,0.983,0.00408790900094413,4.53231438681386,"04_or_to_rr",1000
2,50,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.153904457325026,0.0270901822949861,0.856666782813236,0.0191652366195274,1.0784854872811,1.2589323047398,0.0281646679810222,0.869960160457544,0.97,0.00539444158370447,4.17118755063493,"04_or_to_rr",1000
0.25,100,0.05,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.296102781014008,0.0274722007553119,0.868747267241836,0.0194354996286665,1.1255049464129,1.2955493373651,0.0289838594200368,0.917411548570241,0.976,0.00483983470792134,4.38041357096085,"04_or_to_rr",1000
