"rr","n","br","br_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,50,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,1.16917073412884,0.0179358813570453,0.567182369308149,0.0126889293857267,1.38221712930588,2.43698888417831,0.0545199948701848,1.29935920736235,0.998,0.00141279864099595,5.40129818025713,"05_rr_to_or",1000
0.5,50,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.510876441041244,0.019056050346837,0.602605223028464,0.013481404811305,1.37384237940303,2.2798381542374,0.0510042394041466,0.789787730834895,1,0,5.36769593928181,"05_rr_to_or",1000
0.75,50,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.142142965822935,0.0191497721612393,0.605568967028013,0.0135477093023518,1.37247378370319,2.26642027321672,0.0507040563343074,0.621732806586951,1,0,5.36246919567638,"05_rr_to_or",1000
1,50,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0729750392546149,0.0185199591620594,0.585652531254113,0.0131021414200873,1.37575663135111,2.34910046133511,0.0525537666310371,0.589890883834627,0.998,0.00141279864099595,5.37670061035863,"05_rr_to_or",1000
2,50,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.59632069276515,0.0213705323664215,0.6757955708824,0.0151188096494847,1.34439404684979,1.98935018928044,0.0445054808492245,0.901022376298476,0.988,0.00344325427466518,5.25125437277838,"05_rr_to_or",1000
0.25,100,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,1.02374052478119,0.0211606185163008,0.669157512094434,0.0149703038711377,1.32940666127442,1.9866871958344,0.0444459047100143,1.2228526756301,0.998,0.00141279864099595,5.18746496752618,"05_rr_to_or",1000
0.5,100,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.378128746496938,0.0226984430039806,0.71778779232093,0.0160582541058299,1.32307280262216,1.84326456478742,0.0412372724672841,0.810978078876053,1,0,5.16250065473462,"05_rr_to_or",1000
0.75,100,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.0984054712983488,0.023835196469294,0.753735093205727,0.016862462394411,1.32058392794528,1.7520531282797,0.0391967022033864,0.759757929159391,0.999,0.000999499874937461,5.15342562317207,"05_rr_to_or",1000
1,100,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.0927324055446241,0.0235121120649707,0.743518267264324,0.0166338929078897,1.31359337251774,1.76672642805526,0.0395249713365312,0.748909803234061,0.999,0.000999499874937461,5.12701142945248,"05_rr_to_or",1000
2,100,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,-0.518661062211077,0.0256501190842094,0.81112798560654,0.0181464486364461,1.27799650795176,1.57557935446661,0.0352486541406824,0.962434401857608,0.962,0.00604615580348373,4.98570161969732,"05_rr_to_or",1000
0.25,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.572454406233902,0.0287582421714003,0.909415467643314,0.0203453232604701,1.21459245976879,1.33557488626878,0.0298793057370358,1.07420366016539,0.981,0.00431729081716764,4.73096024197,"05_rr_to_or",1000
0.5,300,0.01,0.01,0.5,"dipietrantonj","population",1000,1000,0,0.104155614986801,0.0291665564850351,0.922327499966657,0.0206341895497678,1.20512628698868,1.30661428509098,0.0292314029755985,0.927731492033566,0.997,0.00172945077987204,4.68864025881965,"05_rr_to_or",1000
