"or_true","br","n","p_exp","rr","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.25,0.02,1000,0.25,0.253807106598985,"balanced_4_over_sqrtN","population",1000,1000,0,-1.99249222562031,1.43855622266072e-05,0.000454911420581619,1.01772184836456e-05,NA,NA,NA,1.99249227749942,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.02,1000,0.5,0.253807106598985,"balanced_4_over_sqrtN","population",1000,1000,0,-1.71913981718848,8.71981029947227e-06,0.000275744613109273,6.16892222603123e-06,NA,NA,NA,1.71913983928065,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.1,100,0.25,0.27027027027027,"balanced_4_over_sqrtN","population",1000,1000,0,-1.17755018981109,0.000156586733821704,0.00495170730243107,0.000110778944655804,NA,NA,NA,1.17756059054723,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.1,300,0.25,0.27027027027027,"balanced_4_over_sqrtN","population",1000,1000,0,-1.17295247975629,3.66893632226629e-05,0.0011602195368483,2.59562789177783e-05,NA,NA,NA,1.17295305299475,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.1,1000,0.25,0.27027027027027,"balanced_4_over_sqrtN","population",1000,1000,0,-1.17248271522593,1.41209394683829e-06,4.46543314214573e-05,9.99000830834832e-07,NA,NA,NA,1.17248271607542,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.1,100,0.5,0.27027027027027,"balanced_4_over_sqrtN","population",1000,1000,0,-0.910198751187719,0.000137749141391429,0.00435601032529491,9.74520902132164e-05,NA,NA,NA,0.910209164156685,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.1,300,0.5,0.27027027027027,"balanced_4_over_sqrtN","population",1000,1000,0,-0.907651118810951,1.23496552310574e-05,0.000390530388479545,8.7368944991044e-06,NA,NA,NA,0.907651202742684,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.1,1000,0.5,0.27027027027027,"balanced_4_over_sqrtN","population",1000,1000,0,-0.90760460701192,0,0,0,NA,NA,NA,0.90760460701192,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.3,50,0.25,0.32258064516129,"balanced_4_over_sqrtN","population",1000,1000,0,-0.613589866203572,0.000285919117636696,0.00904155638317579,0.000202276510504248,NA,NA,NA,0.613656411927558,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.3,100,0.25,0.32258064516129,"balanced_4_over_sqrtN","population",1000,1000,0,-0.59111753033145,8.14913234706652e-05,0.0025769819170884,5.76519005943641e-05,NA,NA,NA,0.591123141874955,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.3,300,0.25,0.32258064516129,"balanced_4_over_sqrtN","population",1000,1000,0,-0.59039473443514,0,0,0,NA,NA,NA,0.59039473443514,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.3,1000,0.25,0.32258064516129,"balanced_4_over_sqrtN","population",1000,1000,0,-0.590394734435139,0,0,0,NA,NA,NA,0.590394734435139,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.3,50,0.5,0.32258064516129,"balanced_4_over_sqrtN","population",1000,1000,0,-0.354329107807406,0.000163419638138671,0.00516778270918721,0.000115612955243378,NA,NA,NA,0.354366753395044,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.3,100,0.5,0.32258064516129,"balanced_4_over_sqrtN","population",1000,1000,0,-0.352917738946047,2.41923964783147e-05,0.000765030749293108,1.71151673270997e-05,NA,NA,NA,0.352918567306348,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.3,300,0.5,0.32258064516129,"balanced_4_over_sqrtN","population",1000,1000,0,-0.352858331064158,0,0,0,NA,NA,NA,0.352858331064158,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.3,1000,0.5,0.32258064516129,"balanced_4_over_sqrtN","population",1000,1000,0,-0.352858331064158,0,0,0,NA,NA,NA,0.352858331064158,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.5,50,0.25,0.4,"balanced_4_over_sqrtN","population",1000,1000,0,-0.336925255632233,0.000156194292033403,0.00493929720343045,0.000110501307552801,NA,NA,NA,0.336961422336523,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.5,100,0.25,0.4,"balanced_4_over_sqrtN","population",1000,1000,0,-0.31987875437272,2.20956415807997e-05,0.000698725537580504,1.56317958493277e-05,NA,NA,NA,0.319879516737478,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.5,300,0.25,0.4,"balanced_4_over_sqrtN","population",1000,1000,0,-0.31982924780448,0,0,0,NA,NA,NA,0.31982924780448,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.5,1000,0.25,0.4,"balanced_4_over_sqrtN","population",1000,1000,0,-0.31982924780448,0,0,0,NA,NA,NA,0.31982924780448,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.5,50,0.5,0.4,"balanced_4_over_sqrtN","population",1000,1000,0,-0.123996523378597,3.91617789154013e-05,0.00123840418596627,2.77054156071218e-05,NA,NA,NA,0.124002701265988,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.5,100,0.5,0.4,"balanced_4_over_sqrtN","population",1000,1000,0,-0.123918081952291,0,0,0,NA,NA,NA,0.123918081952291,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.5,300,0.5,0.4,"balanced_4_over_sqrtN","population",1000,1000,0,-0.123918081952291,0,0,0,NA,NA,NA,0.123918081952291,NA,NA,NA,"06_or_se_imputation",1000
0.25,0.5,1000,0.5,0.4,"balanced_4_over_sqrtN","population",1000,1000,0,-0.123918081952291,0,0,0,NA,NA,NA,0.123918081952291,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.02,300,0.25,0.505050505050505,"balanced_4_over_sqrtN","population",1000,1000,0,-1.68960715045385,5.2513945442472e-05,0.0016606367652003,3.71515473491738e-05,NA,NA,NA,1.68960796571912,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.02,1000,0.25,0.505050505050505,"balanced_4_over_sqrtN","population",1000,1000,0,-1.68810137131986,8.99989649312408e-06,0.00028460171624034,6.36707217263359e-06,NA,NA,NA,1.68810139528676,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.02,1000,0.5,0.505050505050505,"balanced_4_over_sqrtN","population",1000,1000,0,-1.46902649635138,2.44091210005356e-06,7.71884180443405e-05,1.72684913876169e-06,NA,NA,NA,1.46902649837724,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.1,100,0.25,0.526315789473684,"balanced_4_over_sqrtN","population",1000,1000,0,-0.893433122641535,0.000137749141391429,0.00435601032529491,9.74520902132164e-05,NA,NA,NA,0.893443731011714,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.1,300,0.25,0.526315789473684,"balanced_4_over_sqrtN","population",1000,1000,0,-0.890898779350204,1.39747598856525e-05,0.000441920709926161,9.88659201304744e-06,NA,NA,NA,0.890898888845588,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.1,1000,0.25,0.526315789473684,"balanced_4_over_sqrtN","population",1000,1000,0,-0.890838978465736,0,0,0,NA,NA,NA,0.890838978465736,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.1,100,0.5,0.526315789473684,"balanced_4_over_sqrtN","population",1000,1000,0,-0.680765710692491,8.59485077364415e-05,0.00271793045939758,6.08051828491774e-05,NA,NA,NA,0.680771130860797,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.1,300,0.5,0.526315789473684,"balanced_4_over_sqrtN","population",1000,1000,0,-0.679953802973348,0,0,0,NA,NA,NA,0.679953802973348,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.1,1000,0.5,0.526315789473684,"balanced_4_over_sqrtN","population",1000,1000,0,-0.679953802973348,0,0,0,NA,NA,NA,0.679953802973348,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.3,50,0.25,0.588235294117647,"balanced_4_over_sqrtN","population",1000,1000,0,-0.392331811241467,0.000181923515051296,0.0057529266750602,0.000128703719105631,NA,NA,NA,0.392373945594217,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.3,100,0.25,0.588235294117647,"balanced_4_over_sqrtN","population",1000,1000,0,-0.375084300810729,2.61176271810549e-05,0.000825911889712562,1.84771921951281e-05,NA,NA,NA,0.375085209203179,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.3,300,0.25,0.588235294117647,"balanced_4_over_sqrtN","population",1000,1000,0,-0.375014991615193,0,0,0,NA,NA,NA,0.375014991615193,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.3,1000,0.25,0.588235294117647,"balanced_4_over_sqrtN","population",1000,1000,0,-0.375014991615193,0,0,0,NA,NA,NA,0.375014991615193,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.3,50,0.5,0.588235294117647,"balanced_4_over_sqrtN","population",1000,1000,0,-0.18776293725187,5.17280837836157e-05,0.00163578563752246,3.65955811885111e-05,NA,NA,NA,0.187770055451627,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.3,100,0.5,0.588235294117647,"balanced_4_over_sqrtN","population",1000,1000,0,-0.187625664755834,0,0,0,NA,NA,NA,0.187625664755834,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.3,300,0.5,0.588235294117647,"balanced_4_over_sqrtN","population",1000,1000,0,-0.187625664755834,0,0,0,NA,NA,NA,0.187625664755834,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.3,1000,0.5,0.588235294117647,"balanced_4_over_sqrtN","population",1000,1000,0,-0.187625664755834,0,0,0,NA,NA,NA,0.187625664755834,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.5,50,0.25,0.666666666666667,"balanced_4_over_sqrtN","population",1000,1000,0,-0.20318309495443,5.85950364021371e-05,0.00185293774611231,4.14536796079302e-05,NA,NA,NA,0.203191535306403,NA,NA,NA,"06_or_se_imputation",1000
0.5,0.5,100,0.25,0.666666666666667,"balanced_4_over_sqrtN","population",1000,1000,0,-0.188647115570734,0,0,0,NA,NA,NA,0.188647115570734,NA,NA,NA,"06_or_se_imputation",1000
