"delta","n","r_cov","r_cov_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,100,0,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.0134146762499193,0.00868080143232329,0.274511044417936,0.00614132498947413,0.280728831976133,1.02265040946305,0.0228786004892743,0.274701493867086,0.953,0.00669260786241059,1.11433001455625,"07a_ancova_to_smd_d",1000
0.3,100,0,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00630109905135675,0.00881900422783082,0.278881400545999,0.0062390980221005,0.281582953441956,1.00968710315807,0.0225885871052016,0.278813135601934,0.957,0.00641490451994416,1.11770380297922,"07a_ancova_to_smd_d",1000
0.8,100,0,0,0.15,"ancova_md_sd","own",1000,1000,0,0.0046539999747013,0.00915301363601263,0.289443705443793,0.0064753965184062,0.286508607640692,0.989859521047105,0.0221450070454006,0.289336379804159,0.943,0.00733150734842434,1.13716023178901,"07a_ancova_to_smd_d",1000
0,300,0,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.00202853586833267,0.00512937841273993,0.162205187651574,0.00362883312931604,0.161825846911321,0.99766135260071,0.0223195485950327,0.162136755043236,0.95,0.00689202437604511,0.636940746147926,"07a_ancova_to_smd_d",1000
0.3,300,0,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.00418824751131918,0.00512823774258441,0.16216911649407,0.00362802615012345,0.162275751044513,1.0006575515286,0.0223865791634688,0.162142113404688,0.952,0.00675988165576884,0.638708694381465,"07a_ancova_to_smd_d",1000
0.8,300,0,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00591223301788023,0.00518918920105379,0.164096570848794,0.00367114690550084,0.165139687305483,1.00635672306431,0.0225140802796651,0.164121026620682,0.952,0.00675988165576884,0.649963243428674,"07a_ancova_to_smd_d",1000
0,100,0.3,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00776365345544334,0.00889784545415233,0.281374579032967,0.00629487508337576,0.280761707380041,0.997821865589166,0.0223231395705041,0.281340996634386,0.957,0.00641490451994416,1.11446099039785,"07a_ancova_to_smd_d",1000
0.3,100,0.3,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00497672875594603,0.00898065892986131,0.283993371074921,0.00635346235458588,0.281681577110473,0.991859690401582,0.022189754571191,0.283894963690435,0.955,0.00655553201502365,1.11809647167972,"07a_ancova_to_smd_d",1000
0.8,100,0.3,0,0.15,"ancova_md_sd","own",1000,1000,0,0.0140941611078842,0.0091515545362034,0.289397564656486,0.00647436426277975,0.28720268601249,0.99241569760063,0.0222021934911371,0.28959600283155,0.956,0.00648567652600714,1.13990327119493,"07a_ancova_to_smd_d",1000
0,300,0.3,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.00598463719426319,0.00493838376786071,0.156165406664441,0.00349371194326,0.161816117719521,1.03618414075034,0.0231813753460444,0.156201992582612,0.953,0.00669260786241059,0.636902536946849,"07a_ancova_to_smd_d",1000
