"delta","n","r_cov","r_cov_guess","p_exp","method","target","n_sim","n_valid","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,100,0,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00711465425670906,0.00898436339337833,0.284110516497149,0.00635608311656817,0.278609077331589,0.980636270584462,0.021938665698842,0.284057538368347,0.957,0.00641490451994416,1.10591691679431,"07b_ancova_to_smd_g",1000
0.3,100,0,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00892108430109949,0.009049774261724,0.286178989774166,0.00640235872873213,0.279474181824616,0.976571278154134,0.0218477242227082,0.286174949146639,0.948,0.00702111102319284,1.1093342748933,"07b_ancova_to_smd_g",1000
0.8,100,0,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00150560188952333,0.00923447586074711,0.292019767178047,0.0065330278327912,0.284354676486484,0.973751466328339,0.0217846397633267,0.291877603997546,0.956,0.00648567652600714,1.12860660728813,"07b_ancova_to_smd_g",1000
0,300,0,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00309507812299682,0.00504892019522962,0.159660875413476,0.00357191211048421,0.161413283869706,1.01097581640895,0.0226174180285935,0.159611036746358,0.95,0.00689202437604511,0.635316887421939,"07b_ancova_to_smd_g",1000
0.3,300,0,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.00324976615189438,0.00524574691833695,0.16588508290754,0.00371115926210254,0.161877650747252,0.975842118591686,0.0218314115608564,0.165833964707331,0.955,0.00655553201502365,0.637141404602274,"07b_ancova_to_smd_g",1000
0.8,300,0,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.00204733149881423,0.00524855734558969,0.165973956420709,0.00371314752865292,0.164678077425493,0.992192275082415,0.0221971951119381,0.165903581703348,0.947,0.00708456067798138,0.648145239582804,"07b_ancova_to_smd_g",1000
0,100,0.3,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00510861310730845,0.00913427401093607,0.288851106466398,0.00646213897200645,0.278633204534932,0.964625713030964,0.0215804796105292,0.28875183925481,0.946,0.00714730718522718,1.10601030329879,"07b_ancova_to_smd_g",1000
0.3,100,0.3,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.000841546914614636,0.00897535780744447,0.283825734864995,0.00634971201934038,0.279488496172134,0.984718655991769,0.0220299962883697,0.283685034721771,0.948,0.00702111102319284,1.10938785779744,"07b_ancova_to_smd_g",1000
0.8,100,0.3,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00662206728224087,0.0094158330367567,0.297754784640111,0.00666133088933861,0.285016943518237,0.957220364612211,0.0214148081294554,0.297679535137022,0.941,0.00745110730026082,1.13122110879924,"07b_ancova_to_smd_g",1000
0,300,0.3,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00214167575712485,0.00514331556351786,0.162645919057089,0.00363869311436717,0.161418220113551,0.992451707668691,0.0222029991036447,0.162578682692374,0.944,0.00727076337120113,0.635336327191445,"07b_ancova_to_smd_g",1000
0.3,300,0.3,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.00535968037599676,0.00511735218168888,0.161824884833686,0.00362032504468136,0.161909404147517,1.00052228873153,0.0223835530819587,0.161832729173728,0.955,0.00655553201502365,0.637266117990109,"07b_ancova_to_smd_g",1000
0.8,300,0.3,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00133613456227112,0.00508797018519196,0.160895744522353,0.00359953843981153,0.165017546156914,1.02561784121014,0.022944987482124,0.160820827072756,0.966,0.00573096850453743,0.649480933951631,"07b_ancova_to_smd_g",1000
0,100,0.5,0,0.15,"ancova_md_sd","own",1000,1000,0,0.00558406023301423,0.0091467403243043,0.289245325909088,0.00647095839754127,0.278635292870792,0.963318221288627,0.0215512285771955,0.289154590885879,0.951,0.00682634602111555,1.10601981340334,"07b_ancova_to_smd_g",1000
0.3,100,0.5,0,0.15,"ancova_md_sd","own",1000,1000,0,-0.0117502385261653,0.00894526510026859,0.282874119908632,0.00632842261466722,0.279605525009865,0.988445054995405,0.0221133627968842,0.282976709380456,0.956,0.00648567652600714,1.10985138732734,"07b_ancova_to_smd_g",1000
