"q","r_true","r_guess","delta","n","imb_std","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.5,0.2,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0202287255080374,0.0185163388888679,0.585538048163739,0.0130995802194431,0.640510219089744,1.09388317479692,0.0244722105487232,0.585594699751657,0.973,0.00512552436341883,2.5545579310198,"08a_pre_post_to_smd_d",1000
0.7,0.2,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.0161402865177991,0.0144837703000117,0.458017032547372,0.0102466968261776,0.490806923318021,1.07159098557597,0.0239734926227359,0.458072408414078,0.973,0.00512552436341883,1.96156297120828,"08a_pre_post_to_smd_d",1000
1,0.2,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00609937334144389,0.0122856759516745,0.388507186020481,0.0086916316797269,0.390710646738254,1.00567160865245,0.0224987529901307,0.388360783436126,0.961,0.00612200947402077,1.56619304250557,"08a_pre_post_to_smd_d",1000
1.4,0.2,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.000220660229904021,0.0103495023335833,0.327280000233509,0.00732186513023888,0.338672017157893,1.03480816706263,0.0231505922436336,0.327116393727416,0.962,0.00604615580348373,1.36018973150753,"08a_pre_post_to_smd_d",1000
0.5,0.5,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00108308652291479,0.0156642630260323,0.495347490302234,0.0110818489183805,0.631326797545915,1.27451296293177,0.0285132364173474,0.49510093929318,0.988,0.00344325427466518,2.52348021131567,"08a_pre_post_to_smd_d",1000
0.7,0.5,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00428777348258541,0.0118308665260285,0.374124849156937,0.0083698719305904,0.482014490459108,1.28837870979512,0.0288234390829275,0.373962322106629,0.995,0.00223047080231955,1.93010268626257,"08a_pre_post_to_smd_d",1000
1,0.5,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.00689860973631148,0.00951607827030899,0.300924817266119,0.00673225044241098,0.387795027988295,1.28867745608815,0.0288301225957123,0.300853420650812,0.994,0.00244213021765835,1.55549665364235,"08a_pre_post_to_smd_d",1000
1.4,0.5,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00588614587298799,0.0086934178963787,0.274910012042263,0.00615025064070418,0.336226570586547,1.22304228968881,0.0273617412835822,0.274835561599285,0.987,0.00358203852575597,1.35082720157509,"08a_pre_post_to_smd_d",1000
0.5,0.8,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0116591504009159,0.0126146097639529,0.398908986482901,0.0089243393919096,0.620670760458012,1.55592072750815,0.0348088539233367,0.398879915394833,1,0,2.48848189965375,"08a_pre_post_to_smd_d",1000
0.7,0.8,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.0109491088182784,0.00803422150082229,0.254064391688948,0.00568389516321017,0.475676604620973,1.87226789814507,0.04188613122743,0.254173266479906,1,0,1.90883927954293,"08a_pre_post_to_smd_d",1000
1,0.8,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00171789116839028,0.00594128572814415,0.187879951307875,0.00420322556578654,0.38069911593443,2.02628919841791,0.0453318755044318,0.187793845419418,1,0,1.52924130362077,"08a_pre_post_to_smd_d",1000
1.4,0.8,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.006795678642371,0.00564927177250176,0.178645659224021,0.0039966371975301,0.332898914143898,1.86345929472847,0.0416890663100624,0.178685585697996,1,0,1.33813316584818,"08a_pre_post_to_smd_d",1000
0.5,0.2,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00657242517874936,0.0193439107680678,0.611708168821515,0.0136850547176148,0.547322167042281,0.894743923555448,0.0200170934053398,0.611437563199955,0.933,0.00790638982089803,2.17527728486283,"08a_pre_post_to_smd_d",1000
0.7,0.2,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.025081642222158,0.0151612773247074,0.479441685835397,0.0107260063523482,0.401173692427574,0.836751797517469,0.0187197011871689,0.479857848287523,0.907,0.00918428004799505,1.59927401821039,"08a_pre_post_to_smd_d",1000
1,0.2,0.5,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00193471177793153,0.0116749940707428,0.369195729325082,0.00825959830985622,0.312491966269643,0.846412732999114,0.0189358343654202,0.369016157064959,0.914,0.00886588969026797,1.25215743002857,"08a_pre_post_to_smd_d",1000
