"q","r_true","r_guess","delta","n","imb_std","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0.5,0.2,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.0426136605081827,0.0183404252937723,0.579975171844833,0.0129751282819151,0.621907959958668,1.0723010055421,0.0239893770960556,0.581249303499276,0.966,0.00573096850453743,2.47978536482872,"08b_pre_post_to_smd_g",1000
0.7,0.2,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.0101208623030326,0.0140758197949111,0.445116504860031,0.00995808791708375,0.473120422486774,1.06291368062289,0.0237793650973294,0.445008995470505,0.973,0.00512552436341883,1.89071650400143,"08b_pre_post_to_smd_g",1000
1,0.2,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00141856478921585,0.0113765809075817,0.359759076531438,0.00804848275440935,0.378404965019046,1.05182882018538,0.0235313760572015,0.35958195015833,0.973,0.00512552436341883,1.51694778961926,"08b_pre_post_to_smd_g",1000
1.4,0.2,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.0168090144491045,0.00985095795769787,0.311514642808859,0.00696916462696665,0.327910639666712,1.05263314979358,0.0235493704134325,0.31181224202779,0.968,0.00556560868189635,1.31700245818617,"08b_pre_post_to_smd_g",1000
0.5,0.5,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.000616443894768422,0.0158098181357748,0.499950347020856,0.0111848234236467,0.612500081616707,1.22512182513028,0.0274082643770348,0.49970068955312,0.985,0.00384382621875652,2.44699948528175,"08b_pre_post_to_smd_g",1000
0.7,0.5,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.0122203246614982,0.0108459672141526,0.342979598242334,0.0076730944725072,0.468500377179143,1.36597156093268,0.0305593361456706,0.343025809729377,0.993,0.00263647491928143,1.87604929498689,"08b_pre_post_to_smd_g",1000
1,0.5,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.000689821574788482,0.00908933406465936,0.287429980584798,0.00643034573065121,0.374430533087197,1.30268433489572,0.0291434826465906,0.287287057834221,0.993,0.00263647491928143,1.50233316714703,"08b_pre_post_to_smd_g",1000
1.4,0.5,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00580092159523455,0.00834645842809995,0.263938190287046,0.00590479048711273,0.324829848150166,1.23070423343018,0.0275331532814732,0.263869959667755,0.989,0.00329833291224522,1.30508317556444,"08b_pre_post_to_smd_g",1000
0.5,0.8,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,0.00299511224909712,0.0119717344079363,0.378579482716861,0.00846953040684047,0.602719135526204,1.59205441140342,0.0356172319481202,0.378401999210914,0.999,0.000999499874937461,2.41628144198062,"08b_pre_post_to_smd_g",1000
0.7,0.8,0.2,0,25,0,"bonett","own",1000,1000,1000,1000,0,-0.000395507423921951,0.00810216494530273,0.256212952055302,0.00573196247320588,0.46050561530282,1.79735494091424,0.0402101883987812,0.256085118955034,0.997,0.00172945077987204,1.84832384486538,"08b_pre_post_to_smd_g",1000
