"rho","n","p_exp","p_case","dgm","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
0,25,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,562,562,433,0.438,0.173370825309538,0.0222061509200199,0.526430986872617,0.0157161084278952,8881.84858312716,16871.8194874732,503.692508710864,0.553799524981292,0.988452655889146,0.00513422671493667,1.29787574740627,"09b_or_to_cor_CAT",1000
0.1,25,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,679,679,501,0.321,0.178746194963357,0.0179188892259162,0.466923757534949,0.0126799087168158,7977.34753606995,17084.9039213278,463.962303613968,0.499646786213365,0.996007984031936,0.0028171416327886,1.27049996933948,"09b_or_to_cor_CAT",1000
0.25,25,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,771,771,477,0.229,0.113926300952942,0.0142157546326734,0.394727249005672,0.0100585816919821,7666.36826249291,19421.9382670051,494.916814502704,0.410593126436171,0.9979035639413,0.00209423738367613,1.21776549649806,"09b_or_to_cor_CAT",1000
0.5,25,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,744,742,25,0.256,0.0700835045997234,0.00246116607864274,0.0671316603339758,0.00174147796545629,8394.18969495405,125040.69843042,3243.70974914848,0.0970170093216085,NA,NA,NA,"09b_or_to_cor_CAT",1000
0,50,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,819,819,745,0.181,0.0401941102050526,0.0133187246399463,0.381157606407678,0.00942351532872047,4181.60983447142,10970.8156525646,271.235960485943,0.383039552776957,0.985234899328859,0.0044188571624228,1.07368113412595,"09b_or_to_cor_CAT",1000
0.1,50,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,900,900,834,0.1,0.0209466872620846,0.0112155872081733,0.336467616245199,0.0079350273436347,3203.87711783382,9522.09652027558,224.562759115733,0.336932383561684,0.991606714628297,0.00315902235210029,1.04860850284114,"09b_or_to_cor_CAT",1000
0.25,50,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,954,954,802,0.046,0.0317637976724487,0.00968884434143202,0.299258273498937,0.00685464105680304,3870.81542689667,12934.6981175791,296.274892377957,0.30078327645577,0.981296758104738,0.00478378269314132,0.963073973417738,"09b_or_to_cor_CAT",1000
0.5,50,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,859,859,48,0.141,0.0661289580599217,0.00229057703872122,0.0671338393308636,0.00162062615300337,6348.03039677601,94557.8334271971,2282.64760887883,0.0942058635872671,0.729166666666667,0.0641421986177471,0.759007458008591,"09b_or_to_cor_CAT",1000
0,100,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,957,957,950,0.043,0.000831014711654686,0.00744002373652012,0.230160233777218,0.00526364202927351,968.705337872226,4208.83017876093,96.2537057745794,0.230041452448542,0.970526315789474,0.00548730459664895,0.83140118825282,"09b_or_to_cor_CAT",1000
0.1,100,0.3,0.1,"CAT","2x2_tetrachoric (r)","own",1000,995,995,991,0.005,-0.0155336143936353,0.00691097649743576,0.217997220549641,0.00488925587608333,553.204273591901,2537.66663720343,56.9149527971259,0.218440654978305,0.967709384460141,0.00561531095685675,0.792565194732544,"09b_or_to_cor_CAT",1000
