"response","n","k","shape","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
"bin_10",200,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,-1.98585654756327e-17,0.00568324637297648,0.179720030424965,0.00402067288876547,0.123091490979333,0.684906911534965,0.0153226473644876,0.179630147933509,0.827,0.011961229033841,0.482509778245658,"11a_alpha_vs_omega",1000
"cont_kurt8",200,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,-2.75403614843905e-18,0.00565482395263487,0.178821234576023,0.00400056514621818,0.123091490979333,0.688349408117985,0.0153996624453792,0.178731801594897,0.818,0.0122014753206323,0.482509778245658,"11a_alpha_vs_omega",1000
"cont_normal",200,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,4.73158567448201e-17,0.00372282168359978,0.11772595842838,0.00263374966183606,0.123091490979333,1.04557646098262,0.0233914990992578,0.117667080726059,0.95,0.00689202437604511,0.482509778245658,"11a_alpha_vs_omega",1000
"lik5_sev",200,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,1.84277540329989e-17,0.00474008554244193,0.149894666181512,0.00335342376173356,0.123091490979333,0.821186597995938,0.0183714785901859,0.149819700102214,0.897,0.00961202372032029,0.482509778245658,"11a_alpha_vs_omega",1000
"lik5_skew",200,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,1.81329031346091e-17,0.00420574766417715,0.132997418827327,0.00297540076579322,0.123091490979333,0.925517893991193,0.0207055646253707,0.132930903484919,0.93,0.00806845710157772,0.482509778245658,"11a_alpha_vs_omega",1000
"lik5_sym",200,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,1.032647952608e-16,0.00376145456069319,0.118947637270185,0.00266108090024288,0.123091490979333,1.03483762943298,0.023151251371909,0.118888148575657,0.963,0.00596917079668525,0.482509778245658,"11a_alpha_vs_omega",1000
"lik7_skew",200,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,7.03807129763534e-17,0.0040696257231316,0.128692865095057,0.00287909985571296,0.123091490979333,0.956474866640147,0.021398129946852,0.128628502567853,0.945,0.00720936890441875,0.482509778245658,"11a_alpha_vs_omega",1000
"bin_10",1000,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,-2.78329317465699e-17,0.00250339129533729,0.0791641836790511,0.00177105070774235,0.0548271103018215,0.692574694183705,0.0154941899896465,0.0791245916867377,0.818,0.0122014753206323,0.21491832313595,"11a_alpha_vs_omega",1000
"cont_kurt8",1000,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,-6.69507377597418e-17,0.0025435010017474,0.0804325639644171,0.0017994267447036,0.0548271103018215,0.681653146430551,0.0152498545594185,0.0803923376233342,0.825,0.0120156148406979,0.21491832313595,"11a_alpha_vs_omega",1000
"cont_normal",1000,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,-4.49587571761233e-17,0.00177777726151335,0.0562182531883898,0.00125770736803143,0.0548271103018215,0.975254604907296,0.0218182677819631,0.0561901370309982,0.938,0.00762600813007697,0.21491832313595,"11a_alpha_vs_omega",1000
"lik5_sev",1000,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,5.53979808532411e-17,0.00212645136878911,0.0672442965895627,0.00150438056115642,0.0548271103018215,0.815342164056951,0.0182407276826043,0.0672106660315254,0.895,0.00969407035254026,0.21491832313595,"11a_alpha_vs_omega",1000
"lik5_skew",1000,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,-4.78515915314313e-17,0.00189667131386218,0.0599780132450857,0.00134182022563821,0.0548271103018215,0.914120147291036,0.0204505757349172,0.0599480167374606,0.93,0.00806845710157772,0.21491832313595,"11a_alpha_vs_omega",1000
"lik5_sym",1000,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,-2.74173807707787e-17,0.00171589638079481,0.0542614079215119,0.00121392908303203,0.0548271103018215,1.01042550132735,0.0226051064519506,0.0542342704314817,0.952,0.00675988165576884,0.21491832313595,"11a_alpha_vs_omega",1000
"lik7_skew",1000,3,"congeneric","alpha","centred",1000,1000,1000,1000,0,-2.29784114370683e-17,0.0018154888695959,0.0574107989460745,0.00128438684491109,0.0548271103018215,0.954996469450288,0.0213650554393192,0.0573820863666612,0.936,0.0077397674383666,0.21491832313595,"11a_alpha_vs_omega",1000
"bin_10",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,1.01310127821608e-16,0.00537764018287522,0.170055914147301,0.00380446855016391,0.107443061870051,0.631810204360104,0.0141347748134098,0.169970864922603,0.784,0.0130132240432569,0.421169063308016,"11a_alpha_vs_omega",1000
"cont_kurt8",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,-1.68468559754082e-17,0.0065347622301958,0.206647326150603,0.00462308680799215,0.107443061870051,0.519934440340869,0.0116319049316363,0.206543976643688,0.686,0.0146766481186952,0.421169063308016,"11a_alpha_vs_omega",1000
"cont_normal",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,-1.39903279933185e-17,0.00319197244493303,0.100939031544848,0.0022581947409588,0.107443061870051,1.06443523605944,0.023813405135482,0.100888549405384,0.962,0.00604615580348373,0.421169063308016,"11a_alpha_vs_omega",1000
"lik5_sev",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,8.42497594041522e-18,0.00433652912104253,0.137133091621424,0.00306792349373128,0.107443061870051,0.783494783058366,0.0175282422626074,0.137064507925401,0.889,0.00993373041711924,0.421169063308016,"11a_alpha_vs_omega",1000
"lik5_skew",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,1.99969977642683e-17,0.00358394330513575,0.113334238491408,0.00253549868088596,0.107443061870051,0.948019444964074,0.0212089663649426,0.113277557198295,0.941,0.00745110730026082,0.421169063308016,"11a_alpha_vs_omega",1000
