"response","n","k","shape","n_valid","cor_paired","se_ratio_alpha","se_ratio_omega","delta_se_ratio","cov_centred_alpha","cov_centred_omega","delta_coverage","delta_cov_mcse"
"bin_10",200,3,"congeneric",1000,0.73520856285636,0.684906911534965,0.693082058143416,0.00817514660845109,0.827,0.843,0.016,0.013114877048604
"cont_kurt8",200,3,"congeneric",1000,0.938399767052209,0.688349408117985,0.654375749808161,-0.0339736583098238,0.818,0.784,-0.0339999999999999,0.010770329614269
"cont_normal",200,3,"congeneric",1000,0.856290141029699,1.04557646098262,1.07925888099261,0.0336824200099952,0.95,0.96,0.01,0.0066332495807108
"lik5_sev",200,3,"congeneric",1000,0.824320012023332,0.821186597995938,0.842883822824371,0.0216972248284334,0.897,0.904,0.00700000000000001,0.0098488578017961
"lik5_skew",200,3,"congeneric",999,0.846565683244528,0.926907957262657,1.01807546072104,0.0911675034583792,0.930930930930931,0.94994994994995,0.019019019019019,0.00768883458245106
"lik5_sym",200,3,"congeneric",1000,0.853909905836986,1.03483762943298,1.09069199158538,0.0558543621523997,0.963,0.972,0.00900000000000001,0.00591607978309962
"lik7_skew",200,3,"congeneric",1000,0.847809701898565,0.956474866640147,1.03286039051283,0.0763855238726805,0.945,0.949,0.004,0.00734846922834953
"bin_10",1000,3,"congeneric",1000,0.691601402378368,0.692574694183705,0.587411695910556,-0.105162998273149,0.818,0.735,-0.083,0.0150665191733194
"cont_kurt8",1000,3,"congeneric",1000,0.922502598453811,0.681653146430551,0.627074939633651,-0.0545782067969001,0.825,0.788,-0.0369999999999999,0.0100498756211209
"cont_normal",1000,3,"congeneric",1000,0.844459598337706,0.975254604907296,1.03328788344767,0.0580332785403787,0.938,0.952,0.014,0.00692820323027551
"lik5_sev",1000,3,"congeneric",1000,0.769161173615389,0.815342164056951,0.795012118685199,-0.0203300453717515,0.895,0.879,-0.016,0.0109544511501033
"lik5_skew",1000,3,"congeneric",1000,0.831286170742186,0.914120147291036,0.936728488003858,0.0226083407128217,0.93,0.933,0.003,0.00921954445729289
