"response","n","k","shape","method","n_valid","emp_sd","robust_sd","sd_over_robust","ex_kurtosis","sd_mcse_rel","se_ratio_readable"
"bin_10",200,3,"congeneric","alpha",1000,0.179720030424965,0.16797490541083,1.06992190283072,0.265435640544919,0.0237982963704596,TRUE
"cont_kurt8",200,3,"congeneric","alpha",1000,0.178821234576023,0.182595320670719,0.97933087178339,-0.275468391956138,0.0207637400776201,TRUE
"cont_normal",200,3,"congeneric","alpha",1000,0.11772595842838,0.116820857260163,1.00774777029928,0.021277019864768,0.0224793072617061,TRUE
"lik5_sev",200,3,"congeneric","alpha",1000,0.149894666181512,0.157060157155893,0.954377411151651,0.0100990453304823,0.0224170640658544,TRUE
"lik5_skew",200,3,"congeneric","alpha",1000,0.132997418827327,0.131679105390166,1.01001156131229,0.14694407569812,0.0231675639402275,TRUE
"lik5_sym",200,3,"congeneric","alpha",1000,0.118947637270185,0.119470239571755,0.995625669594015,-0.112432008070268,0.0217230752422955,TRUE
"lik7_skew",200,3,"congeneric","alpha",1000,0.128692865095057,0.129832950250522,0.99121883040272,-0.247869184576031,0.0209292308472144,TRUE
"bin_10",1000,3,"congeneric","alpha",1000,0.0791641836790511,0.0791082972297111,1.00070645496487,-0.216085777622324,0.0211182043648228,TRUE
"cont_kurt8",1000,3,"congeneric","alpha",1000,0.0804325639644171,0.0816682827481289,0.984869049009848,0.114098523355595,0.0229896635651525,TRUE
"cont_normal",1000,3,"congeneric","alpha",1000,0.0562182531883898,0.0538370841302638,1.04422916093235,0.198716459938055,0.02344523650946,TRUE
"lik5_sev",1000,3,"congeneric","alpha",1000,0.0672442965895627,0.0688343075538648,0.976900894033722,0.0916758781430711,0.0228674215760275,TRUE
"lik5_skew",1000,3,"congeneric","alpha",1000,0.0599780132450857,0.057833772897081,1.0370759201863,0.066697055616519,0.0227304699446388,TRUE
"lik5_sym",1000,3,"congeneric","alpha",1000,0.0542614079215119,0.0557358964947231,0.973545081967941,-0.020322844310837,0.0222467815407598,TRUE
"lik7_skew",1000,3,"congeneric","alpha",1000,0.0574107989460745,0.0569646261477345,1.00783245372633,-0.017601218144681,0.0222620685351526,TRUE
"bin_10",200,8,"congeneric","alpha",1000,0.170055914147301,0.165154226604995,1.02967945564015,0.179449216465834,0.0233422857517523,TRUE
"cont_kurt8",200,8,"congeneric","alpha",1000,0.206647326150603,0.209215249237937,0.987725927738598,0.002208932110491,0.0223730246732002,TRUE
"cont_normal",200,8,"congeneric","alpha",1000,0.100939031544848,0.0954522144894048,1.05748234427868,0.222282417090404,0.0235705452688859,TRUE
"lik5_sev",200,8,"congeneric","alpha",1000,0.137133091621424,0.141889944449191,0.966475053279975,0.0458597008173909,0.0226155903129754,TRUE
"lik5_skew",200,8,"congeneric","alpha",1000,0.113334238491408,0.113844079238459,0.995521587504053,-0.208933016131107,0.0211604996625132,TRUE
"lik5_sym",200,8,"congeneric","alpha",1000,0.10285208754414,0.108486895824562,0.948060010035362,-0.232501121713435,0.0210208163393252,TRUE
"lik7_skew",200,8,"congeneric","alpha",1000,0.109646696636346,0.107185463972207,1.02296237356194,0.169805572845438,0.0232905859353379,TRUE
"bin_10",1000,8,"congeneric","alpha",1000,0.0748017884159087,0.0748422567586509,0.99945928484128,-0.0186419348664795,0.022256224214439,TRUE
