"response","n","k","shape","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
"cont_normal",500,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,3.10830462930955e-17,0.00203954468795496,0.0644960660363506,0.00144289750859268,0.0677479720900769,1.05042022333414,0.0234998631136659,0.0644638099372906,0.965,0.00581162627841812,0.265567170644351,"11b_loading_shape",1000
"cont_normal",500,8,"extreme","alpha","centred",1000,1000,1000,1000,0,-4.61836650736749e-17,0.00209262746302565,0.0661746907738085,0.00148045148049191,0.0677479720900769,1.02377466819824,0.0229037522578659,0.0661415951524468,0.957,0.00641490451994416,0.265567170644351,"11b_loading_shape",1000
"cont_normal",500,8,"tau_equiv","alpha","centred",1000,1000,1000,1000,0,2.08731686449082e-17,0.00217910006284853,0.0689091944801743,0.00154162743784299,0.0677479720900769,0.983148513070611,0.0219948692574002,0.0688747312649754,0.948,0.00702111102319284,0.265567170644351,"11b_loading_shape",1000
"cont_normal",500,8,"congeneric","omega","centred",1000,1000,1000,1000,0,-8.72550187484833e-17,0.00206125311216216,0.0651825466854293,0.00145825536340656,0.0677479720900769,1.0393575509872,0.0232523704625827,0.0651499472601918,0.961,0.00612200947402077,0.265567170644351,"11b_loading_shape",1000
"cont_normal",500,8,"extreme","omega","centred",1000,1000,1000,1000,0,-7.19342527167807e-17,0.00212615277838138,0.0672348543318037,0.00150416932020743,0.0677479720900769,1.0076317226143,0.0225426044019442,0.0672012284960762,0.959,0.00627048642451286,0.265567170644351,"11b_loading_shape",1000
"cont_normal",500,8,"tau_equiv","omega","centred",1000,1000,1000,1000,0,-1.35228891344312e-16,0.0021777651406792,0.0688669805346328,0.00154068303300417,0.0677479720900769,0.983751161501945,0.022008351628862,0.0688325384316861,0.952,0.00675988165576884,0.265567170644351,"11b_loading_shape",1000
"cont_normal",500,8,"congeneric","alpha","population",1000,1000,1000,1000,0,-0.00320345270031749,0.00203954468795496,0.0644960660363506,0.00144289750859268,0.0677479720900769,1.05042022333414,0.0234998631136659,0.0645433567521422,0.961,0.00612200947402077,0.265567170644351,"11b_loading_shape",1000
"cont_normal",500,8,"extreme","alpha","population",1000,1000,1000,1000,0,-0.00304059664456284,0.00209262746302565,0.0661746907738085,0.00148045148049191,0.0677479720900769,1.02377466819824,0.0229037522578659,0.0662114479320993,0.959,0.00627048642451286,0.265567170644351,"11b_loading_shape",1000
"cont_normal",500,8,"tau_equiv","alpha","population",1000,1000,1000,1000,0,0.00218980922810765,0.00217910006284853,0.0689091944801743,0.00154162743784299,0.0677479720900769,0.983148513070611,0.0219948692574002,0.0689095339650333,0.948,0.00702111102319284,0.265567170644351,"11b_loading_shape",1000
"cont_normal",500,8,"congeneric","omega","population",1000,1000,1000,1000,0,-0.00563079730200697,0.00206125311216216,0.0651825466854293,0.00145825536340656,0.0677479720900769,1.0393575509872,0.0232523704625827,0.0653928245777934,0.961,0.00612200947402077,0.265567170644351,"11b_loading_shape",1000
"cont_normal",500,8,"extreme","omega","population",1000,1000,1000,1000,0,-0.00506021188835211,0.00212615277838138,0.0672348543318037,0.00150416932020743,0.0677479720900769,1.0076317226143,0.0225426044019442,0.0673914746517455,0.955,0.00655553201502365,0.265567170644351,"11b_loading_shape",1000
"cont_normal",500,8,"tau_equiv","omega","population",1000,1000,1000,1000,0,-0.00011426810645845,0.0021777651406792,0.0688669805346328,0.00154068303300417,0.0677479720900769,0.983751161501945,0.022008351628862,0.0688326332792063,0.951,0.00682634602111555,0.265567170644351,"11b_loading_shape",1000
