"K","tau2","response_mix","confound","M_valid","cov_reml_hk","cov_reml_z","cov_fe","cov_oracle_hk","cov_mcse","bias_mu","tau2_est","tau2_true","i2_rep","i2_true","i2_inflation","pi_coverage"
10,0,"lik5_skew","none",1998,0.941941941941942,0.948448448448448,0.935,0.945472736368184,0.00523173307875124,-0.00445485693946034,0.000987219418286244,0,12.8668664482689,0,12.8668664482689,0.947947947947948
30,0,"lik5_skew","none",2000,0.9375,0.942,0.928,0.9405,0.00541265877365274,-0.00429173554640261,0.000569958662466941,0,10.0793234580111,0,10.0793234580111,0.9525
10,0.01,"lik5_skew","none",1999,0.931965982991496,0.898949474737369,0.634,0.931965982991496,0.00563192276634885,-0.00759359838384542,0.0103937332397184,0.01,60.6564395528466,67.6828298300769,-7.02639027723021,0.978989494747374
30,0.01,"lik5_skew","none",2000,0.939,0.931,0.6135,0.937,0.00535158854920668,-0.00737269617876307,0.0103450796885727,0.01,68.9896231166983,69.1544274025278,-0.164804285829447,1
10,0.06,"lik5_skew","none",2000,0.949,0.9265,0.326,0.949,0.00491929873051028,-0.00789078298511289,0.0608027718252245,0.06,90.7261385061108,92.4467636128505,-1.72062510673966,0.9995
30,0.06,"lik5_skew","none",2000,0.953,0.944,0.3235,0.9535,0.00473238840333293,-0.00846233411744197,0.0601954624104668,0.06,93.0562148934447,93.0441899605988,0.0120249328458897,1
10,0,"bin_10","none",2000,0.9425,0.9025,0.7305,0.9425,0.00520546587732549,-0.0183104078958501,0.0101987478471357,0,55.4753342669628,0,55.4753342669628,0.981
30,0,"bin_10","none",2000,0.887,0.8475,0.6535,0.893,0.00707923018413725,-0.0188643910368246,0.00864265982580973,0,62.6968456415894,0,62.6968456415894,0.9995
10,0.01,"bin_10","none",2000,0.938,0.8925,0.531,0.9285,0.00539240206216117,-0.0211119123376528,0.0208541231703089,0.01,75.7045192745014,46.1257205139805,29.5787987605208,0.997
30,0.01,"bin_10","none",2000,0.8965,0.868,0.5125,0.894,0.00681130494105205,-0.0212120714667781,0.0200769773356814,0.01,81.1271015516849,47.4089968979437,33.7181046537412,1
10,0.06,"bin_10","none",2000,0.9455,0.904,0.3055,0.9415,0.00507591124823908,-0.0227324255313649,0.070104906757569,0.06,92.1616603667277,83.4356696205024,8.72599074622525,1
30,0.06,"bin_10","none",2000,0.935,0.9245,0.306,0.9315,0.00551248582764618,-0.0237220941830605,0.0725261299591398,0.06,94.1533423239761,84.2351299945344,9.91821232944166,1
10,0,"lik5_skew","sb_tied",2000,0.9415,0.9135,0.114,0.9415,0.0052477495176504,0.000562016437062132,0.367751593003274,0,98.6479459835106,0,98.6479459835106,0.9995
