"k","n","bonett_se","limit_k_inf","is_max_for_n"
3,200,0.123091490979333,0.100503781525921,TRUE
4,200,0.116051770637132,0.100503781525921,FALSE
6,200,0.110096376512636,0.100503781525921,FALSE
8,200,0.107443061870051,0.100503781525921,FALSE
10,200,0.105940287693955,0.100503781525921,FALSE
20,200,0.103114704148291,0.100503781525921,FALSE
100,200,0.101010101010101,0.100503781525921,FALSE
3,1000,0.0548271103018215,0.0447661481035845,TRUE
4,1000,0.0516914953163744,0.0447661481035845,FALSE
6,1000,0.0490388582579007,0.0447661481035845,FALSE
8,1000,0.0478570253511981,0.0447661481035845,FALSE
10,1000,0.0471876633599181,0.0447661481035845,FALSE
20,1000,0.0459290988605156,0.0447661481035845,FALSE
100,1000,0.0449916716875969,0.0447661481035845,FALSE
