"response","n","k","shape","method","n_valid","C","scale_mean","scale_sd","mean_item","floor_position","sd_over_max","se_ratio","c_variance_error","coverage_centred"
"q2_d16",200,8,"congeneric","alpha",1000,2,8.439375,0.951285171084874,1.054921875,0.054921875,0.521932339090167,0.513341530192361,3.79478520178555,0.665
"q3_d16",200,8,"congeneric","alpha",1000,3,9.13711,1.85528725667038,1.14213875,0.071069375,0.451292681104582,0.58827595852081,2.88960047300364,0.756
"q5_d16",200,8,"congeneric","alpha",1000,5,10.82354,3.72739392287623,1.3529425,0.088235625,0.410669095571163,0.669793904930605,2.22903874613628,0.818
"q7_d16",200,8,"congeneric","alpha",1000,7,12.6546,5.60370893439751,1.581825,0.0969708333333333,0.394514417532352,0.697550751876585,2.05517296188378,0.82
"q2_d12",200,8,"congeneric","alpha",1000,2,8.920565,1.41842008897814,1.115070625,0.115070625,0.555620607184775,0.688165927551533,2.1116097952118,0.819
"q3_d12",200,8,"congeneric","alpha",1000,3,10.175345,2.66433503535886,1.271918125,0.1359590625,0.485844860226169,0.740719522296413,1.82260441514634,0.86
"q5_d12",200,8,"congeneric","alpha",1000,5,12.99736,5.10967983007452,1.62467,0.1561675,0.439865861266339,0.811357457248174,1.51906212554927,0.882
"q7_d12",200,8,"congeneric","alpha",1000,7,15.98692,7.51251992485415,1.998365,0.166394166666667,0.420237668635227,0.818363660501644,1.49316337047049,0.886
"q2_d08",200,8,"congeneric","alpha",1000,2,9.684655,1.902623626071,1.210581875,0.210581875,0.583309241945178,0.839932969664294,1.41745977202749,0.896
"q3_d08",200,8,"congeneric","alpha",1000,3,11.712025,3.43781412549558,1.464003125,0.2320015625,0.509022272981008,0.916914594157142,1.18943915107899,0.931
"q5_d08",200,8,"congeneric","alpha",1000,5,16.04315,6.38942538928131,2.00539375,0.2513484375,0.460292461534139,0.928431168518873,1.16011375585262,0.937
"q7_d08",200,8,"congeneric","alpha",1000,7,20.462825,9.22609425989716,2.557853125,0.2596421875,0.438397620710958,0.972330658542728,1.05772322525101,0.934
"q2_d04",200,8,"congeneric","alpha",1000,2,10.753345,2.28782755287568,1.344168125,0.344168125,0.601937937414418,0.995329258886423,1.0094073396721,0.95
"q3_d04",200,8,"congeneric","alpha",1000,3,13.706715,4.02458775145521,1.713339375,0.3566696875,0.525111235005392,0.980245753228235,1.04071079903283,0.936
"q5_d04",200,8,"congeneric","alpha",1000,5,19.81983,7.30482064185,2.47747875,0.3693696875,0.472978643740695,1.01312267892515,0.974262363080797,0.947
"q7_d04",200,8,"congeneric","alpha",1000,7,25.95187,10.4733706430179,3.24398375,0.373997291666667,0.450944299247729,1.03946649543575,0.925505510648573,0.957
