"response","n","k","shape","method","target","n_sim","n_valid","n_valid_se","n_valid_ci","nonest_rate","bias","bias_mcse","emp_se","emp_se_mcse","mod_se","se_ratio","se_ratio_mcse","rmse","coverage","coverage_mcse","ci_width","study","nrep"
"q2_d00",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,-4.70829294605887e-17,0.00318204440822005,0.10062507945778,0.00225117104614937,0.107443061870051,1.06775629345099,0.0238877033947506,0.100574754333623,0.958,0.00634318531969546,0.421169063308016,"11e_floor_sweep",1000
"q2_d04",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,1.01470691387089e-16,0.00341359194717013,0.107947255554668,0.00241498180697503,0.107443061870051,0.995329258886423,0.0222673753011103,0.107893268426733,0.95,0.00689202437604511,0.421169063308016,"11e_floor_sweep",1000
"q2_d08",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,1.01357500680282e-16,0.00404514177396261,0.127918614640158,0.00286177842634439,0.107443061870051,0.839932969664294,0.0187908699521363,0.127854639335012,0.896,0.00965318600255895,0.421169063308016,"11e_floor_sweep",1000
"q2_d12",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,8.32667268468867e-17,0.0049372510420651,0.156129586729655,0.00349291058438904,0.107443061870051,0.688165927551533,0.0153955576422729,0.156051502410328,0.819,0.0121753439376471,0.421169063308016,"11e_floor_sweep",1000
"q2_d16",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,2.4331258579105e-17,0.00661868900738331,0.209301323876503,0.00468246169613421,0.107443061870051,0.513341530192361,0.0114844092127145,0.209196647038809,0.665,0.0149256490646136,0.421169063308016,"11e_floor_sweep",1000
"q3_d00",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,5.10692621749783e-17,0.0033388151074286,0.105582604256542,0.00236208013906813,0.107443061870051,1.01762087255386,0.0227660803508901,0.105529799749985,0.945,0.00720936890441875,0.421169063308016,"11e_floor_sweep",1000
"q3_d04",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,2.79822958424228e-17,0.00346611850316929,0.109608291100685,0.00245214227579621,0.107443061870051,0.980245753228235,0.0219299290958987,0.109553473247244,0.936,0.0077397674383666,0.421169063308016,"11e_floor_sweep",1000
"q3_d08",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,-5.41524561737533e-17,0.00370552280939615,0.117178919993978,0.00262151138991327,0.107443061870051,0.916914594157142,0.0205130927327559,0.117120315879288,0.931,0.00801492358042171,0.421169063308016,"11e_floor_sweep",1000
"q3_d12",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,-3.71643125616442e-17,0.00458695611583715,0.145052288532845,0.0032450907257157,0.107443061870051,0.740719522296413,0.0165712797534826,0.144979744247971,0.86,0.0109726933794762,0.421169063308016,"11e_floor_sweep",1000
"q3_d16",200,8,"congeneric","alpha","centred",1000,1000,1000,1000,0,-8.11628325311786e-18,0.00577560223854926,0.182640579329828,0.00408601102483372,0.107443061870051,0.58827595852081,0.0131608323899359,0.182549236198669,0.756,0.0135817524642441,0.421169063308016,"11e_floor_sweep",1000
