r	br	n	method	bias_ci	bias_es	bias_var
r=0	br=0.3	n=25	Cooper (r)	1	8.75971194346671e-05	1.69068411972258
r=0	br=0.3	n=25	Lipsey (r)	0.999866470823875	0.0222384030488512	0.787249541037643
r=0	br=0.3	n=25	Tetrachoric (r)	0.999599946659555	-0.000679750161606413	0.938867540030513
r=0	br=0.3	n=25	Cooper (z)	1	0.000187365151482983	1.60587278743205
r=0	br=0.3	n=25	Lipsey (z)	0.999866470823875	0.0286647623377512	
r=0	br=0.3	n=25	Tetrachoric (z)	1	-0.00101900558306169	0.946529859708996
r=0	br=0.3	n=50	Cooper (r)	1	0.000406005576007225	2.40509190083329
r=0	br=0.3	n=50	Lipsey (r)	0.999858876658199	0.0117095766279254	0.862262225091238
r=0	br=0.3	n=50	Tetrachoric (r)	0.9992	0.000716818813753091	0.921677665135243
r=0	br=0.3	n=50	Cooper (z)	1	0.000404798709799387	2.27972711251917
r=0	br=0.3	n=50	Lipsey (z)	0.999858876658199	0.013171364446462	0.911182316864948
r=0	br=0.3	n=50	Tetrachoric (z)	1	0.000624027050366193	0.919749567209952
r=0	br=0.3	n=75	Cooper (r)	1	-0.000134540151355724	3.0553754172632
r=0	br=0.3	n=75	Lipsey (r)	0.999866666666667	0.0074858880903201	0.887593213527074
r=0	br=0.3	n=75	Tetrachoric (r)	0.999333333333333	-1.95783733946601e-05	0.934456334212634
r=0	br=0.3	n=75	Cooper (z)	1	-0.000162604995187735	2.90910628898559
r=0	br=0.3	n=75	Lipsey (z)	0.999866666666667	0.00813739460120832	0.913903633518417
r=0	br=0.3	n=75	Tetrachoric (z)	1	-2.22720450878411e-05	0.930235852856926
r=0	br=0.3	n=100	Cooper (r)	1	-0.000148170831946127	3.64638713273986
r=0	br=0.3	n=100	Lipsey (r)	1	0.00543064311918582	0.920824191498411
r=0	br=0.3	n=100	Tetrachoric (r)	1	-0.00038471870954687	0.954149789360095
r=0	br=0.3	n=100	Cooper (z)	1	-0.000151072893067554	3.49330219516162
r=0	br=0.3	n=100	Lipsey (z)	1	0.00572880432646807	0.947985861903036
r=0	br=0.3	n=100	Tetrachoric (z)	1	-0.00038030007599256	0.952477378230049
r=0	br=0.3	n=300	Cooper (r)	1	-7.08519035918435e-05	6.66362552929798
r=0	br=0.3	n=300	Lipsey (r)	1	0.00177941467231784	0.976502459333577
r=0	br=0.3	n=300	Tetrachoric (r)	0.999733333333333	-8.22827461201567e-05	0.988458624041472
r=0	br=0.3	n=300	Cooper (z)	1	-7.57118020593459e-05	6.47954158086651
r=0	br=0.3	n=300	Lipsey (z)	1	0.00180504286570781	0.986223210164829
r=0	br=0.3	n=300	Tetrachoric (z)	0.999866666666667	-9.96637731359534e-05	0.987962152622715
r=0	br=0.5	n=25	Cooper (r)	1	0.000394414068018547	1.84016706831075
r=0	br=0.5	n=25	Lipsey (r)	0.999866613311992	0.0208486590001743	0.793229673036858
r=0	br=0.5	n=25	Tetrachoric (r)	0.999866666666667	0.000619251747094361	0.919641581034028
r=0	br=0.5	n=25	Cooper (z)	1	0.000396302885394166	1.73397400053503
r=0	br=0.5	n=25	Lipsey (z)	0.999866613311992	0.0250220417056933	
r=0	br=0.5	n=25	Tetrachoric (z)	1	0.000454979308164758	0.912771793229962
r=0	br=0.5	n=50	Cooper (r)	1	-0.000129016343035995	2.72465778988171
r=0	br=0.5	n=50	Lipsey (r)	1	0.01001517638492	0.87024572532128
r=0	br=0.5	n=50	Tetrachoric (r)	0.9996	-0.00074262130321972	0.927716505283077
r=0	br=0.5	n=50	Cooper (z)	1	-0.000117487413596686	2.58883707578938
r=0	br=0.5	n=50	Lipsey (z)	1	0.0108254962855406	0.904810462112403
r=0	br=0.5	n=50	Tetrachoric (z)	1	-0.000657460069879112	0.922710121137695
r=0	br=0.5	n=75	Cooper (r)	1	-8.12490633423604e-05	3.4816335536297
r=0	br=0.5	n=75	Lipsey (r)	1	0.00661222665823025	0.922324296885142
