r	n	method	bias_ci	bias_es	bias_var	br
r=0	n=25	Cooper (r)	0.993733333333333	-0.000174771386269938	1.77444096886419	br=
r=0	n=25	Lipsey (r)	0.95944143022325	0.0205316988470037	0.784618746189781	br=
r=0	n=25	Tetrachoric (r)	0.954355555555555	-0.000830075412567364	0.898474848960213	br=
r=0	n=25	Cooper (z)	0.998488888888889	-0.000151327994190021	1.67825576572877	br=
r=0	n=25	Lipsey (z)	0.961620563906431	0.0239326434440437		br=
r=0	n=25	Tetrachoric (z)	0.990444444444444	-0.000946398121596742	0.899340367448204	br=
r=0	n=50	Cooper (r)	0.998355555555556	0.000433699288988733	2.58087440427259	br=
r=0	n=50	Lipsey (r)	0.957822222222222	0.00998921532238711	0.884545831076558	br=
r=0	n=50	Tetrachoric (r)	0.969466666666667	0.000632757241587228	0.934136483862891	br=
r=0	n=50	Cooper (z)	0.999777777777778	0.000399832004148389	2.4469807396217	br=
r=0	n=50	Lipsey (z)	0.959022222222222	0.0107871443931898	0.923668166002494	br=
r=0	n=50	Tetrachoric (z)	0.986933333333333	0.000533003046121534	0.930644882058597	br=
r=0	n=75	Cooper (r)	0.999822222222222	0.000976932878752351	3.35028469418372	br=
r=0	n=75	Lipsey (r)	0.9616	0.00693255142982082	0.933345777673599	br=
r=0	n=75	Tetrachoric (r)	0.974577777777778	0.00189713304344568	0.969620083584534	br=
r=0	n=75	Cooper (z)	1	0.00101538459202462	3.19508256757758	br=
r=0	n=75	Lipsey (z)	0.962133333333333	0.00727959934323274	0.95747082750599	br=
r=0	n=75	Tetrachoric (z)	0.986933333333333	0.0020609145835656	0.96598279640797	br=
r=0	n=100	Cooper (r)	0.999866666666667	0.000507441294730441	3.76596924096374	br=
r=0	n=100	Lipsey (r)	0.958355838824673	0.00530380416705547	0.921894085454123	br=
r=0	n=100	Tetrachoric (r)	0.976311111111111	0.000534688276889556	0.947530405951465	br=
r=0	n=100	Cooper (z)	0.999955555555556	0.000501849224804607	3.61262367961923	br=
r=0	n=100	Lipsey (z)	0.959003996975262	0.00547925036956313	0.94813219087475	br=
r=0	n=100	Tetrachoric (z)	0.984444444444444	0.000529030228310332	0.946224891093905	br=
r=0	n=300	Cooper (r)	1	0.000310300965747561	6.89961378226875	br=
r=0	n=300	Lipsey (r)	0.958116222519974	0.00180398056725026	0.985224022351733	br=
r=0	n=300	Tetrachoric (r)	0.982	0.000347967622000733	0.993128862477852	br=
r=0	n=300	Cooper (z)	1	0.000315707843689741	6.71404205592611	br=
r=0	n=300	Lipsey (z)	0.95821547317751	0.00182547172012122	0.993397243009502	br=
r=0	n=300	Tetrachoric (z)	0.984711111111111	0.000360867387808239	0.992803369897151	br=
r=0.1	n=25	Cooper (r)	0.993866666666667	-0.03033352262776	1.76427253212039	br=
