d	n	r_cov	p	r_cov_guess	method	bias_ci	bias_es	bias_var
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.1	SD = pooled SDs	1	0.000231223552888735	0.923109578202267
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.1	SD = max(SDs)	1	-0.000294072819070846	0.951741460719546
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.1	SD = min(SDs)	1	0.00114305951484653	0.88367021648484
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.1	SD = sigma(model)	1	0.0015825339732898	0.861548977164179
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.1	Comparison (from t-test)	1	0.000343782575965932	0.923899330752648
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.3	SD = pooled SDs	1	-0.000672118899557327	0.905166653585683
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.3	SD = max(SDs)	1	-0.00105089418099181	0.93408461575625
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.3	SD = min(SDs)	1	-2.28385361905692e-05	0.867231282174014
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.3	SD = sigma(model)	1	0.000304169921020061	0.847217175236458
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.3	Comparison (from t-test)	1	-0.000299650443391902	0.908035608868242
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.5	SD = pooled SDs	1	-0.00447697126534221	0.94092271004986
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.5	SD = max(SDs)	1	-0.00483705210150177	0.969860676011343
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.5	SD = min(SDs)	1	-0.00369343233126927	0.901606392197607
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.5	SD = sigma(model)	1	-0.00339019656339299	0.880616155609331
d=0	n=25	r_cov=0.1	0.3	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00422817818502457	0.941210491984117
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.1	SD = pooled SDs	1	0.000306157286429421	0.916100827792602
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.1	SD = max(SDs)	1	-0.000260810286803895	0.946276843337982
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.1	SD = min(SDs)	1	0.000960426885828524	0.882307031588818
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.1	SD = sigma(model)	1	0.00139699787740777	0.861684722930943
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.1	Comparison (from t-test)	1	0.000223857987606846	0.926615354348275
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.3	SD = pooled SDs	1	-0.000503708031238485	0.913706758810593
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.3	SD = max(SDs)	1	-0.000933852709857857	0.944882305392507
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.3	SD = min(SDs)	1	-1.26577572420123e-05	0.878552900203793
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.3	SD = sigma(model)	1	0.000157687964356969	0.857723586191225
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.3	Comparison (from t-test)	1	-0.000499318228685915	0.922247607068973
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.5	SD = pooled SDs	1	-0.00268975053592568	0.936802962016837
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.5	SD = max(SDs)	1	-0.00301620516758024	0.966699822939787
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.5	SD = min(SDs)	1	-0.00234559958691935	0.903396077546375
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.5	SD = sigma(model)	1	-0.00205063085840297	0.882896293270922
d=0	n=25	r_cov=0.1	0.5	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00279386714371541	0.94495056611378
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.1	SD = pooled SDs	1	0.000401314057891263	0.908058194718156
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.1	SD = max(SDs)	1	-4.03144234477688e-05	0.938896084776712
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.1	SD = min(SDs)	1	0.000760713470262709	0.878672120631082
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.1	SD = sigma(model)	1	0.00117511484107897	0.861007915907258
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.1	Comparison (from t-test)	1	4.88479182312684e-05	0.917491402860781
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.3	SD = pooled SDs	1	-0.000185515767221687	0.907224027101046
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.3	SD = max(SDs)	1	-0.000686919449109903	0.938853734521759
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.3	SD = min(SDs)	1	0.000364905144404604	0.877367501429251
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.3	SD = sigma(model)	1	0.000671202382673988	0.857559232303241
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.3	Comparison (from t-test)	1	-0.000323513681699694	0.918023233861207
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.5	SD = pooled SDs	1	-0.00262693374424071	0.944829412116767
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.5	SD = max(SDs)	1	-0.00306333243817859	0.977252110424647
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.5	SD = min(SDs)	1	-0.00222138924024426	0.91258365281296
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.5	SD = sigma(model)	1	-0.0019083704605006	0.893141207900466
d=0	n=25	r_cov=0.1	0.7	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00293422031177003	0.954452860028006
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.1	SD = pooled SDs	1	0.00460110406827309	0.923499112625321
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.1	SD = max(SDs)	1	0.0032046541359735	0.952165461977597
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.1	SD = min(SDs)	1	0.00662724510962047	0.884463880639861
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.1	SD = sigma(model)	1	0.00772337558123877	0.864904578910752
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.1	Comparison (from t-test)	1	0.00478491072947257	0.92376230217644
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.3	SD = pooled SDs	1	0.000801588763606781	0.947463973425964
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.3	SD = max(SDs)	1	-0.000448004405828507	0.976166829851996
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.3	SD = min(SDs)	1	0.00259729521952531	0.908397858500914
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.3	SD = sigma(model)	1	0.00369007505766904	0.887976024164925
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.3	Comparison (from t-test)	1	0.00087712609971697	0.949140396446374
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.5	SD = pooled SDs	1	-0.006835384317595	0.914933304552506
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.5	SD = max(SDs)	1	-0.00794713807576175	0.94297686225309
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.5	SD = min(SDs)	1	-0.00522731502127675	0.876023442512868
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.5	SD = sigma(model)	1	-0.00427624960227008	0.855725941770431
d=0	n=25	r_cov=0.3	0.3	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00673283507063234	0.914621527955534
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.1	SD = pooled SDs	1	0.00467127343756028	0.93027010051156
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.1	SD = max(SDs)	1	0.00317221350774605	0.960355553433083
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.1	SD = min(SDs)	1	0.00640748730894666	0.896812046115809
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.1	SD = sigma(model)	1	0.00727890287600726	0.87631461708787
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.1	Comparison (from t-test)	1	0.00456085401789689	0.938197907165695
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.3	SD = pooled SDs	1	0.00079799398440631	0.937324696342828
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.3	SD = max(SDs)	1	-0.000588936612017636	0.968385402975733
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.3	SD = min(SDs)	1	0.00239085638575883	0.902467580504922
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.3	SD = sigma(model)	1	0.0034150692786664	0.881766083149109
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.3	Comparison (from t-test)	1	0.000550961846371078	0.945279559147032
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.5	SD = pooled SDs	1	-0.00717887529307031	0.938432497544061
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.5	SD = max(SDs)	1	-0.00854714920055146	0.969663199514628
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.5	SD = min(SDs)	1	-0.00558230823789049	0.903438633273377
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.5	SD = sigma(model)	1	-0.00455132553269851	0.882795061661168
d=0	n=25	r_cov=0.3	0.5	guessed r_cov=0.5	Comparison (from t-test)	1	-0.00755587252211868	0.947544852389731
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.1	SD = pooled SDs	1	0.00526874889445509	0.919142901162555
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.1	SD = max(SDs)	1	0.00396110111012267	0.951375758567307
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.1	SD = min(SDs)	1	0.0065722620276192	0.888426834609987
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.1	SD = sigma(model)	1	0.00757643484993701	0.869311705945499
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.1	Comparison (from t-test)	1	0.00501010825628091	0.930494404038933
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.3	SD = pooled SDs	1	0.00166507184577712	0.895113875312098
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.3	SD = max(SDs)	1	0.000176641785555576	0.926994954700865
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.3	SD = min(SDs)	1	0.00319091153424899	0.866143389652031
d=0	n=25	r_cov=0.3	0.7	guessed r_cov=0.3	SD = sigma(model)	1	0.00433405886041547	0.84684797866307
