or	n	br	method	bias_ci	bias_es	bias_var
OR=0.25	n=25	br=0.01	metaumbrella	1	0	3.877829437439
OR=0.25	n=25	br=0.05	metaumbrella	1	0	2.42516799452493
OR=0.25	n=25	br=0.15	metaumbrella	1	0	1.76791729510875
OR=0.25	n=25	br=0.5	metaumbrella	1	0	1.19893676925239
OR=0.25	n=50	br=0.01	metaumbrella	1	0	3.15274355285621
OR=0.25	n=50	br=0.05	metaumbrella	1	0	1.93940419059846
OR=0.25	n=50	br=0.15	metaumbrella	1	0	1.48937347906384
OR=0.25	n=50	br=0.5	metaumbrella	1	0	1.32296118369511
OR=0.25	n=75	br=0.01	metaumbrella	1	0	2.7381299629661
OR=0.25	n=75	br=0.05	metaumbrella	1	0	1.73779191567877
OR=0.25	n=75	br=0.15	metaumbrella	1	0	1.31373762948242
OR=0.25	n=75	br=0.5	metaumbrella	1	0	1.50666702960191
OR=0.25	n=100	br=0.01	metaumbrella	1	0	2.54252741082456
OR=0.25	n=100	br=0.05	metaumbrella	1	0	1.59674550373961
OR=0.25	n=100	br=0.15	metaumbrella	1	0	1.20457645889222
OR=0.25	n=100	br=0.5	metaumbrella	1	0	1.68533860097838
OR=0.25	n=300	br=0.01	metaumbrella	1	0	1.82307017360491
OR=0.25	n=300	br=0.05	metaumbrella	1	0	1.11475577698987
OR=0.25	n=300	br=0.15	metaumbrella	1	0	1.15409113416304
OR=0.25	n=300	br=0.5	metaumbrella	1	0	2.33572166138077
OR=0.5	n=25	br=0.01	metaumbrella	1	0	3.67557180394736
OR=0.5	n=25	br=0.05	metaumbrella	1	0	2.13016395986226
OR=0.5	n=25	br=0.15	metaumbrella	1	0	1.44021457028672
OR=0.5	n=25	br=0.5	metaumbrella	1	0	1.16417284239112
OR=0.5	n=50	br=0.01	metaumbrella	1	0	2.91214403903097
OR=0.5	n=50	br=0.05	metaumbrella	1	0	1.6338427356314
OR=0.5	n=50	br=0.15	metaumbrella	1	0	1.22458085591541
OR=0.5	n=50	br=0.5	metaumbrella	1	0	1.50358384912582
OR=0.5	n=75	br=0.01	metaumbrella	1	0	2.50437054808957
OR=0.5	n=75	br=0.05	metaumbrella	1	0	1.46068208722101
OR=0.5	n=75	br=0.15	metaumbrella	1	0	1.14576218877803
OR=0.5	n=75	br=0.5	metaumbrella	1	0	1.72560509149677
OR=0.5	n=100	br=0.01	metaumbrella	1	0	2.25973464342509
OR=0.5	n=100	br=0.05	metaumbrella	1	0	1.33501733070095
OR=0.5	n=100	br=0.15	metaumbrella	1	0	1.16256038949436
OR=0.5	n=100	br=0.5	metaumbrella	1	0	1.89757874630683
OR=0.5	n=300	br=0.01	metaumbrella	1	0	1.55301522087448
OR=0.5	n=300	br=0.05	metaumbrella	1	0	1.06997690489135
OR=0.5	n=300	br=0.15	metaumbrella	1	0	1.57557298264397
OR=0.5	n=300	br=0.5	metaumbrella	1	0	2.44463439081492
OR=0.75	n=25	br=0.01	metaumbrella	1	0	3.53701474669126
OR=0.75	n=25	br=0.05	metaumbrella	1	0	1.95641014100712
OR=0.75	n=25	br=0.15	metaumbrella	1	0	1.32563044092031
OR=0.75	n=25	br=0.5	metaumbrella	1	0	1.16719182662911
OR=0.75	n=50	br=0.01	metaumbrella	1	0	2.77845424521842
OR=0.75	n=50	br=0.05	metaumbrella	1	0	1.51133964515802
OR=0.75	n=50	br=0.15	metaumbrella	1	0	1.12718868781083
OR=0.75	n=50	br=0.5	metaumbrella	1	0	1.57251097728356
OR=0.75	n=75	br=0.01	metaumbrella	1	0	2.35249010663311
OR=0.75	n=75	br=0.05	metaumbrella	1	0	1.32908554647335
OR=0.75	n=75	br=0.15	metaumbrella	1	0	1.13633194679099
OR=0.75	n=75	br=0.5	metaumbrella	1	0	1.77831345158556
OR=0.75	n=100	br=0.01	metaumbrella	1	0	2.11321998662434
OR=0.75	n=100	br=0.05	metaumbrella	1	0	1.22487893629071
OR=0.75	n=100	br=0.15	metaumbrella	1	0	1.23079395773258
OR=0.75	n=100	br=0.5	metaumbrella	1	0	1.97409481544798
OR=0.75	n=300	br=0.01	metaumbrella	1	0	1.42803768816778
OR=0.75	n=300	br=0.05	metaumbrella	1	0	1.16948216716533
OR=0.75	n=300	br=0.15	metaumbrella	1	0	1.78754039145145
OR=0.75	n=300	br=0.5	metaumbrella	1	0	2.46738146236431
OR=1	n=25	br=0.01	metaumbrella	1	0	3.3515002792024
OR=1	n=25	br=0.05	metaumbrella	1	0	1.8480754122651
OR=1	n=25	br=0.15	metaumbrella	1	0	1.28000584164114
OR=1	n=25	br=0.5	metaumbrella	1	0	1.2180526302979
OR=1	n=50	br=0.01	metaumbrella	1	0	2.59014148321886
OR=1	n=50	br=0.05	metaumbrella	1	0	1.41770730352242
OR=1	n=50	br=0.15	metaumbrella	1	0	1.14310839861903
OR=1	n=50	br=0.5	metaumbrella	1	0	1.57014541466797
OR=1	n=75	br=0.01	metaumbrella	1	0	2.24302183824595
OR=1	n=75	br=0.05	metaumbrella	1	0	1.27518015364384
OR=1	n=75	br=0.15	metaumbrella	1	0	1.1820304794873
OR=1	n=75	br=0.5	metaumbrella	1	0	1.80253996907575
OR=1	n=100	br=0.01	metaumbrella	1	0	1.97634371650249
OR=1	n=100	br=0.05	metaumbrella	1	0	1.17192736028089
OR=1	n=100	br=0.15	metaumbrella	1	0	1.27308463607073
OR=1	n=100	br=0.5	metaumbrella	1	0	1.91348683801637
OR=1	n=300	br=0.01	metaumbrella	1	0	1.33977399055644
OR=1	n=300	br=0.05	metaumbrella	1	0	1.22088618275994
OR=1	n=300	br=0.15	metaumbrella	1	0	1.9008766675484
OR=1	n=300	br=0.5	metaumbrella	1	0	2.47212277038502
OR=2	n=25	br=0.01	metaumbrella	1	0	3.00767329382336
OR=2	n=25	br=0.05	metaumbrella	1	0	1.65022662501603
OR=2	n=25	br=0.15	metaumbrella	1	0	1.22713364914324
OR=2	n=25	br=0.5	metaumbrella	1	0	1.14991402002984
OR=2	n=50	br=0.01	metaumbrella	1	0	2.30407860042275
OR=2	n=50	br=0.05	metaumbrella	1	0	1.37295033142837
OR=2	n=50	br=0.15	metaumbrella	1	0	1.19520804618422
OR=2	n=50	br=0.5	metaumbrella	1	0	1.4841619049283
OR=2	n=75	br=0.01	metaumbrella	1	0	1.9591588021666
OR=2	n=75	br=0.05	metaumbrella	1	0	1.21099674848445
OR=2	n=75	br=0.15	metaumbrella	1	0	1.29519260003317
OR=2	n=75	br=0.5	metaumbrella	1	0	1.73861187708922
OR=2	n=100	br=0.01	metaumbrella	1	0	1.78499706545426
OR=2	n=100	br=0.05	metaumbrella	1	0	1.14216594615059
OR=2	n=100	br=0.15	metaumbrella	1	0	1.40026736289172
OR=2	n=100	br=0.5	metaumbrella	1	0	1.86301163662146
OR=2	n=300	br=0.01	metaumbrella	1	0	1.28229190470579
OR=2	n=300	br=0.05	metaumbrella	1	0	1.29850276306323
OR=2	n=300	br=0.15	metaumbrella	1	0	2.00685293601089
OR=2	n=300	br=0.5	metaumbrella	1	0	2.44377657911041
