r	br	n	method	bias_ci	bias_es	bias_var
r=0	br=0.3	n=25	Bonett (r)	1	-0.000865141458843217	0.947183196647817
r=0	br=0.3	n=25	Cooper (r)	1	8.75971194346671e-05	1.69068411972258
r=0	br=0.3	n=25	Digby (r)	1	-0.000466052254043573	0.956087816332634
r=0	br=0.3	n=25	Pearson (r)	1	-0.000557137277667638	0.955950363663966
r=0	br=0.3	n=25	Bonett (z)	1	-0.00127109090268912	0.979990013420328
r=0	br=0.3	n=25	Cooper (z)	1	0.000187365151482983	1.60587278743205
r=0	br=0.3	n=25	Digby (z)	1	-0.000605830825188258	0.988320956347163
r=0	br=0.3	n=25	Pearson (z)	1	-0.000753331088027825	0.995948695227241
r=0	br=0.3	n=50	Bonett (r)	1	0.000467220396343597	0.919390410415075
r=0	br=0.3	n=50	Cooper (r)	1	0.000406005576007225	2.40509190083329
r=0	br=0.3	n=50	Digby (r)	1	0.000849229331268027	0.917136040815117
r=0	br=0.3	n=50	Pearson (r)	1	0.000923140295245271	0.917177027930535
r=0	br=0.3	n=50	Bonett (z)	1	0.000232291503918452	0.924181062505076
r=0	br=0.3	n=50	Cooper (z)	1	0.000404798709799387	2.27972711251917
r=0	br=0.3	n=50	Digby (z)	1	0.000779061507920939	0.921113220300544
r=0	br=0.3	n=50	Pearson (z)	1	0.00083487177967262	0.923100040257219
r=0	br=0.3	n=75	Bonett (r)	1	-0.000298106664690669	0.928147958828877
r=0	br=0.3	n=75	Cooper (r)	1	-0.000134540151355724	3.0553754172632
r=0	br=0.3	n=75	Digby (r)	1	-9.91039088207182e-05	0.930572517948163
r=0	br=0.3	n=75	Pearson (r)	1	-8.982881726372e-05	0.930667922155608
r=0	br=0.3	n=75	Bonett (z)	1	-0.000459642575732621	0.924433522474236
r=0	br=0.3	n=75	Cooper (z)	1	-0.000162604995187735	2.90910628898559
r=0	br=0.3	n=75	Digby (z)	1	-0.00016201488908141	0.926440174276371
r=0	br=0.3	n=75	Pearson (z)	1	-0.00016525195665692	0.926502971114329
r=0	br=0.3	n=100	Bonett (r)	1	-0.000507143063349735	0.951630132879881
r=0	br=0.3	n=100	Cooper (r)	1	-0.000148170831946127	3.64638713273986
r=0	br=0.3	n=100	Digby (r)	1	-0.000460728319052655	0.953402315722346
r=0	br=0.3	n=100	Pearson (r)	1	-0.000506984570546365	0.953407706947581
r=0	br=0.3	n=100	Bonett (z)	1	-0.000549590192512667	0.950630460841949
r=0	br=0.3	n=100	Cooper (z)	1	-0.000151072893067554	3.49330219516162
r=0	br=0.3	n=100	Digby (z)	1	-0.000468073129796644	0.952227823775656
r=0	br=0.3	n=100	Pearson (z)	1	-0.000513947544851051	0.952317971452062
r=0	br=0.3	n=300	Bonett (r)	0.999866666666667	-0.00016727849632622	0.984668412419554
r=0	br=0.3	n=300	Cooper (r)	1	-7.08519035918435e-05	6.66362552929798
r=0	br=0.3	n=300	Digby (r)	0.999866666666667	-0.000115586044621268	0.987726108004324
r=0	br=0.3	n=300	Pearson (r)	0.999733333333333	-0.00012154159192668	0.987729167289004
r=0	br=0.3	n=300	Bonett (z)	0.999866666666667	-0.000191533855589694	0.983934869585813
r=0	br=0.3	n=300	Cooper (z)	1	-7.57118020593459e-05	6.47954158086651
r=0	br=0.3	n=300	Digby (z)	0.999866666666667	-0.000136711889226924	0.987165733235902
r=0	br=0.3	n=300	Pearson (z)	0.9996	-0.000146593922403017	0.987118073919635
r=0	br=0.5	n=25	Bonett (r)	1	0.000547974333606723	0.915892002877394
r=0	br=0.5	n=25	Cooper (r)	1	0.000394414068018547	1.84016706831075
r=0	br=0.5	n=25	Digby (r)	1	0.00071842501337016	0.918409839049692
r=0	br=0.5	n=25	Pearson (r)	1	0.000775375670708418	0.91878014861747
r=0	br=0.5	n=25	Bonett (z)	1	0.000213265266055266	0.918576606092319
r=0	br=0.5	n=25	Cooper (z)	1	0.000396302885394166	1.73397400053503
r=0	br=0.5	n=25	Digby (z)	1	0.000550825021547628	0.918497159943148
r=0	br=0.5	n=25	Pearson (z)	1	0.000544383010003836	0.921532637885185
