rr	n	br	br_guess	method	bias_ci	bias_es	bias_var
RR=0.25	n=25	br=0.01	guessed br=0.01	dipietrantonj (br)	1	0.00341644713306357	7.16026348463648
RR=0.25	n=25	br=0.01	guessed br=0.01	dipietrantonj (random)	1	0.00341644713306357	7.16026348463648
RR=0.25	n=25	br=0.01	guessed br=0.01	Grant	1	-0.00924760320497314	6.35106052436734
RR=0.25	n=25	br=0.01	guessed br=0.01	metaumbrella (cases)	1	0	4.1377454375132
RR=0.25	n=25	br=0.01	guessed br=0.01	metaumbrella (exp)	0.953033333333333	0.0598721764994717	2.77429556191328
RR=0.25	n=25	br=0.01	guessed br=0.01	OR = RR	1	-0.00752504769303571	6.98394955452553
RR=0.25	n=25	br=0.01	guessed br=0.05	dipietrantonj (br)	1	0.00396401855236391	7.12502512200164
RR=0.25	n=25	br=0.01	guessed br=0.05	dipietrantonj (random)	1	0.00396401855236391	7.12502512200164
RR=0.25	n=25	br=0.01	guessed br=0.05	Grant	1	-0.0157567126436687	5.36230279910397
RR=0.25	n=25	br=0.01	guessed br=0.05	metaumbrella (cases)	1	0	4.08704847822311
RR=0.25	n=25	br=0.01	guessed br=0.05	metaumbrella (exp)	0.953633333333333	0.0589990287081532	2.75456349910696
RR=0.25	n=25	br=0.01	guessed br=0.05	OR = RR	1	-0.00742155582721026	6.87337694337582
RR=0.25	n=25	br=0.01	guessed br=0.15	dipietrantonj (br)	1	0.00285522671796034	7.24857416263919
RR=0.25	n=25	br=0.01	guessed br=0.15	dipietrantonj (random)	1	0.00285522671796034	7.24857416263919
RR=0.25	n=25	br=0.01	guessed br=0.15	Grant	1	-0.0267826408530774	4.98749921471612
RR=0.25	n=25	br=0.01	guessed br=0.15	metaumbrella (cases)	1	0	4.74969951491282
RR=0.25	n=25	br=0.01	guessed br=0.15	metaumbrella (exp)	0.952933333333333	0.0591647876111105	2.78232657630462
RR=0.25	n=25	br=0.01	guessed br=0.15	OR = RR	1	-0.00725251776918892	6.97550662113928
