or	n	br	br_guess	method	bias_ci	bias_es	bias_var
or=0.25	n=25	br=0.01	guessed br=0.01	Di Pietrantonj	1	-0.024886869195891	2.91582846560287
or=0.25	n=25	br=0.01	guessed br=0.01	Grant	1	0.00973865079192351	7.85052623582807
or=0.25	n=25	br=0.01	guessed br=0.01	metaumbrella	1	-0.0548355333493335	2.48086915420607
or=0.25	n=25	br=0.01	guessed br=0.01	or = rr	1	0.00774314151680671	6.21492532082717
or=0.25	n=25	br=0.01	guessed br=0.05	Di Pietrantonj	1	-0.0250641121863971	2.88567098219085
or=0.25	n=25	br=0.01	guessed br=0.05	Grant	1	0.0193654073069726	7.62760710011732
or=0.25	n=25	br=0.01	guessed br=0.05	metaumbrella	1	-0.0669373190324111	1.73333139564556
or=0.25	n=25	br=0.01	guessed br=0.05	or = rr	1	0.00766381847702243	6.168106747196
or=0.25	n=25	br=0.01	guessed br=0.15	Di Pietrantonj	1	-0.026465224596937	2.88278345861728
or=0.25	n=25	br=0.01	guessed br=0.15	Grant	1	0.0574864955477346	3.49187540696474
or=0.25	n=25	br=0.01	guessed br=0.15	metaumbrella	1	-0.0617708080480576	1.84068359119513
or=0.25	n=25	br=0.01	guessed br=0.15	or = rr	1	0.00770996182642728	6.1556466161368
or=0.25	n=25	br=0.01	guessed br=0.4	Di Pietrantonj	1	-0.024882290741217	2.91269256049799
or=0.25	n=25	br=0.01	guessed br=0.4	Grant	1	0.0821854249100749	2.14026608278021
or=0.25	n=25	br=0.01	guessed br=0.4	metaumbrella	1	-0.0596867622029705	1.96540250600808
or=0.25	n=25	br=0.01	guessed br=0.4	or = rr	1	0.00765597685427477	6.2140722845265
or=0.25	n=25	br=0.01	guessed br=0.7	Di Pietrantonj	1	-0.0253927791843512	2.90436829593724
or=0.25	n=25	br=0.01	guessed br=0.7	Grant	1	-0.43087327737453	6.72042899669263
or=0.25	n=25	br=0.01	guessed br=0.7	metaumbrella	1	-0.056477414637614	2.04542761017895
or=0.25	n=25	br=0.01	guessed br=0.7	or = rr	1	0.00761500524109585	6.20233578909109
or=0.25	n=25	br=0.05	guessed br=0.01	Di Pietrantonj	1	-0.101648131953713	1.7727542017843
or=0.25	n=25	br=0.05	guessed br=0.01	Grant	1	0.0379812179681249	4.32313264332146
or=0.25	n=25	br=0.05	guessed br=0.01	metaumbrella	1	-0.0628772711593904	1.89803283874109
or=0.25	n=25	br=0.05	guessed br=0.01	or = rr	1	0.0379956420566367	3.76395857828524
or=0.25	n=25	br=0.05	guessed br=0.05	Di Pietrantonj	1	-0.105041371371041	1.7126676023758
or=0.25	n=25	br=0.05	guessed br=0.05	Grant	1	0.0402349840454158	3.94746398762588
or=0.25	n=25	br=0.05	guessed br=0.05	metaumbrella	1	-0.0703481367163133	1.75841678408869
or=0.25	n=25	br=0.05	guessed br=0.05	or = rr	1	0.0390068863663669	3.68328233263298
or=0.25	n=25	br=0.05	guessed br=0.15	Di Pietrantonj	1	-0.104124192006219	1.7434757850625
or=0.25	n=25	br=0.05	guessed br=0.15	Grant	1	0.0522089938339392	2.68004669353083
or=0.25	n=25	br=0.05	guessed br=0.15	metaumbrella	1	-0.0658142789547297	1.8234331125977
or=0.25	n=25	br=0.05	guessed br=0.15	or = rr	1	0.0388777587490546	3.72439516958484
or=0.25	n=25	br=0.05	guessed br=0.4	Di Pietrantonj	1	-0.102470023642605	1.74407340991675
