r	n	p	method	bias_ci	bias_es	bias_var
r=0	n=25	0.3	Lipsey-Cooper (r)	0.9939	-0.000796225152581256	0.919365887773101
r=0	n=25	0.3	Viechtbauer (r)	0.9942	-0.00110060444922112	0.878036832267391
r=0	n=25	0.3	Lipsey-Cooper (z)	0.9944	-0.000710549196313779	0.915365097769838
r=0	n=25	0.3	Viechtbauer (z)	0.9937	-0.00072225936806769	0.868069839841388
r=0	n=25	0.5	Lipsey-Cooper (r)	0.9973	0.00127335125799007	0.939199253106847
r=0	n=25	0.5	Viechtbauer (r)	0.9975	0.000317979656859619	0.900714893847796
r=0	n=25	0.5	Lipsey-Cooper (z)	0.9972	0.00134009102260682	0.932156122684475
r=0	n=25	0.5	Viechtbauer (z)	0.9965	0.00115643717495936	0.888911748716695
r=0	n=25	0.7	Lipsey-Cooper (r)	0.9947	-0.000162864588411156	0.951646501154929
r=0	n=25	0.7	Viechtbauer (r)	0.9946	-0.00101726586649413	0.909204809272261
r=0	n=25	0.7	Lipsey-Cooper (z)	0.9946	-0.000167579324781781	0.944310190276123
r=0	n=25	0.7	Viechtbauer (z)	0.9937	-0.000312597544020012	0.896025207280216
r=0	n=50	0.3	Lipsey-Cooper (r)	0.995	-4.17629352266016e-05	0.963970875892145
r=0	n=50	0.3	Viechtbauer (r)	0.9967	0.00012780447719203	0.941944291362304
r=0	n=50	0.3	Lipsey-Cooper (z)	0.995	-2.42332861292624e-05	0.962975754679055
r=0	n=50	0.3	Viechtbauer (z)	0.9949	-1.33074584369334e-05	0.939734992740963
r=0	n=50	0.5	Lipsey-Cooper (r)	0.9984	0.000633392196522972	0.964599532398277
r=0	n=50	0.5	Viechtbauer (r)	0.9985	0.000486103615178656	0.944919601607432
r=0	n=50	0.5	Lipsey-Cooper (z)	0.9979	0.000602029817927292	0.96359992588779
r=0	n=50	0.5	Viechtbauer (z)	0.998	0.000576691808449068	0.943080936851148
r=0	n=50	0.7	Lipsey-Cooper (r)	0.9948	-0.000329846578511563	0.983144171287583
r=0	n=50	0.7	Viechtbauer (r)	0.9957	-0.000494485021192589	0.960814598248087
r=0	n=50	0.7	Lipsey-Cooper (z)	0.9944	-0.000342014638475058	0.980108295385671
r=0	n=50	0.7	Viechtbauer (z)	0.9943	-0.000341832940842003	0.956213835802623
r=0	n=75	0.3	Lipsey-Cooper (r)	0.9943	-9.16405272711867e-05	0.981004071943368
r=0	n=75	0.3	Viechtbauer (r)	0.9967	-0.000254541745539519	0.966242817270702
r=0	n=75	0.3	Lipsey-Cooper (z)	0.9945	-7.30024495521638e-05	0.980595709852648
r=0	n=75	0.3	Viechtbauer (z)	0.9941	-7.64289029015035e-05	0.965365199213571
r=0	n=75	0.5	Lipsey-Cooper (r)	0.9982	-7.87787942902306e-06	0.968597649029672
r=0	n=75	0.5	Viechtbauer (r)	0.9989	5.19127095436366e-05	0.955514040998093
r=0	n=75	0.5	Lipsey-Cooper (z)	0.9984	-1.38671798686207e-05	0.967528953027708
r=0	n=75	0.5	Viechtbauer (z)	0.9984	-1.30811503323422e-05	0.953745689229877
r=0	n=75	0.7	Lipsey-Cooper (r)	0.995	0.00127021179804231	0.969770662964165
r=0	n=75	0.7	Viechtbauer (r)	0.9965	0.00097061573502092	0.95519987667789
r=0	n=75	0.7	Lipsey-Cooper (z)	0.9957	0.00128943355515634	0.968356885671776
r=0	n=75	0.7	Viechtbauer (z)	0.9953	0.00126743245052311	0.952740270169872
r=0	n=100	0.3	Lipsey-Cooper (r)	0.9946	0.000800074436757695	1.01249322399234
r=0	n=100	0.3	Viechtbauer (r)	0.997	0.00019956856475145	1.0010476074558
r=0	n=100	0.3	Lipsey-Cooper (z)	0.9949	0.000794739277356585	1.01150116985738
r=0	n=100	0.3	Viechtbauer (z)	0.9947	0.000771003050330752	0.999855093543507
r=0	n=100	0.5	Lipsey-Cooper (r)	0.9975	-8.74109631621875e-05	0.988549007786602
r=0	n=100	0.5	Viechtbauer (r)	0.9985	9.09968414206955e-05	0.978554976920565
r=0	n=100	0.5	Lipsey-Cooper (z)	0.9979	-8.26016964118247e-05	0.98809442921559
r=0	n=100	0.5	Viechtbauer (z)	0.9978	-7.49349150667916e-05	0.977906329296378
r=0	n=100	0.7	Lipsey-Cooper (r)	0.9952	0.000766029864052822	0.969096109012846
r=0	n=100	0.7	Viechtbauer (r)	0.9971	0.000834965383693688	0.958074618870144
r=0	n=100	0.7	Lipsey-Cooper (z)	0.9952	0.000757641959536753	0.968991669469214
r=0	n=100	0.7	Viechtbauer (z)	0.9951	0.000756930071084301	0.957517935975557
r=0	n=300	0.3	Lipsey-Cooper (r)	0.995	2.12971319995215e-06	0.983655613183595
r=0	n=300	0.3	Viechtbauer (r)	0.9973	-0.000139482831041908	0.979950150564298
r=0	n=300	0.3	Lipsey-Cooper (z)	0.9949	3.76897712818849e-06	0.983486904001103
r=0	n=300	0.3	Viechtbauer (z)	0.9949	1.08130630944863e-06	0.97962971035297
r=0	n=300	0.5	Lipsey-Cooper (r)	0.998	-0.000333144881557666	1.02356015267191
r=0	n=300	0.5	Viechtbauer (r)	0.9988	-0.000576698066441187	1.02013322631259
r=0	n=300	0.5	Lipsey-Cooper (z)	0.9981	-0.000334841045858765	1.02361897444842
r=0	n=300	0.5	Viechtbauer (z)	0.998	-0.000339239905961081	1.02030186488493
r=0	n=300	0.7	Lipsey-Cooper (r)	0.9958	-0.000601335186221435	1.01221278753974
r=0	n=300	0.7	Viechtbauer (r)	0.998	-0.000613778698951706	1.00841085666832
r=0	n=300	0.7	Lipsey-Cooper (z)	0.9958	-0.000601929882074529	1.01209225904
r=0	n=300	0.7	Viechtbauer (z)	0.9958	-0.000602241360863633	1.00828335501771
r=0.1	n=25	0.3	Lipsey-Cooper (r)	0.9936	-0.0262696790092637	0.937581692765243
r=0.1	n=25	0.3	Viechtbauer (r)	0.9949	-0.000823632290302949	0.894918671516819
r=0.1	n=25	0.3	Lipsey-Cooper (z)	0.9931	-0.0280597584406962	0.937857827590863
r=0.1	n=25	0.3	Viechtbauer (z)	0.993	-0.0238110288869051	0.884914026233226
r=0.1	n=25	0.5	Lipsey-Cooper (r)	0.9971	-0.0258734513048424	0.952346906771134
r=0.1	n=25	0.5	Viechtbauer (r)	0.9972	-0.00402538830519715	0.913203740118868
r=0.1	n=25	0.5	Lipsey-Cooper (z)	0.9961	-0.0274285547483925	0.949406781648477
r=0.1	n=25	0.5	Viechtbauer (z)	0.997	-0.0233541811723511	0.900782646881083
r=0.1	n=25	0.7	Lipsey-Cooper (r)	0.9944	-0.0257448542984756	0.954613557807119
r=0.1	n=25	0.7	Viechtbauer (r)	0.9947	-0.00011974267348083	0.911401695970134
r=0.1	n=25	0.7	Lipsey-Cooper (z)	0.9922	-0.0273920430344302	0.952475372975566
r=0.1	n=25	0.7	Viechtbauer (z)	0.993	-0.0231321579370516	0.898314194609751
r=0.1	n=50	0.3	Lipsey-Cooper (r)	0.9937	-0.027481694711721	0.976831035593449
r=0.1	n=50	0.3	Viechtbauer (r)	0.9959	-0.00292563064285682	0.953897469524797
r=0.1	n=50	0.3	Lipsey-Cooper (z)	0.9933	-0.0283601932167149	0.979416586175419
r=0.1	n=50	0.3	Viechtbauer (z)	0.9932	-0.0263233736464321	0.949746402052889
r=0.1	n=50	0.5	Lipsey-Cooper (r)	0.9973	-0.0216871227518996	0.976661691634327
r=0.1	n=50	0.5	Viechtbauer (r)	0.9981	-0.00106251954700235	0.956673723581403
r=0.1	n=50	0.5	Lipsey-Cooper (z)	0.9968	-0.0223617144197009	0.979369554224047
r=0.1	n=50	0.5	Viechtbauer (z)	0.9969	-0.0203491490206442	0.952813345180636
r=0.1	n=50	0.7	Lipsey-Cooper (r)	0.9942	-0.0250813211999006	0.979429757206262
r=0.1	n=50	0.7	Viechtbauer (r)	0.9963	0.000399326004793849	0.956358292918502
r=0.1	n=50	0.7	Lipsey-Cooper (z)	0.9927	-0.0258714538203758	0.982835367833765
r=0.1	n=50	0.7	Viechtbauer (z)	0.9924	-0.023754553312097	0.952784770865832
r=0.1	n=75	0.3	Lipsey-Cooper (r)	0.994	-0.0237399262913749	0.982143279595741
r=0.1	n=75	0.3	Viechtbauer (r)	0.9964	0.00106802442097811	0.966705435899051
r=0.1	n=75	0.3	Lipsey-Cooper (z)	0.9931	-0.0243031370762559	0.985663620649678
r=0.1	n=75	0.3	Viechtbauer (z)	0.9933	-0.0228822703361933	0.963454768113111
r=0.1	n=75	0.5	Lipsey-Cooper (r)	0.9976	-0.0212963705377331	0.9771253820785
r=0.1	n=75	0.5	Viechtbauer (r)	0.9986	-0.000332680494349116	0.963829407983158
r=0.1	n=75	0.5	Lipsey-Cooper (z)	0.997	-0.0217765463427518	0.981315455756386
r=0.1	n=75	0.5	Viechtbauer (z)	0.997	-0.0203799370853373	0.961278061002497
r=0.1	n=75	0.7	Lipsey-Cooper (r)	0.9948	-0.0250848328245576	0.973051596190041
r=0.1	n=75	0.7	Viechtbauer (r)	0.9973	-9.43875457400011e-05	0.957700605521531
r=0.1	n=75	0.7	Lipsey-Cooper (z)	0.9937	-0.0256383316014726	0.977605550779762
r=0.1	n=75	0.7	Viechtbauer (z)	0.9937	-0.024206136804043	0.9556644362341
r=0.1	n=100	0.3	Lipsey-Cooper (r)	0.9923	-0.0257410431909463	0.988174347686818
r=0.1	n=100	0.3	Viechtbauer (r)	0.9967	-0.00117257970561064	0.976214265977145
r=0.1	n=100	0.3	Lipsey-Cooper (z)	0.9916	-0.0262029305922978	0.993489164020249
